World_Bank_income_group,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
High income,2020-01-27,1241193758,-0.6001073296062007,-0.5766042440429934,-0.5872206894439874,-0.6001073296062007,-0.6143258391782077,-0.6143258391782077,-0.6143258391782077,-44.951734073287724,-0.5837887541985419,0
Low income,2020-01-27,704080579,0.4745879464001124,0.4745879464001124,0.4745879464001124,0.4745879464001124,0.2408683625363083,0.08699181493606792,-0.5769807666630032,0.3809549841402295,0.01313637876345619,0
Lower middle income,2020-01-27,2994738553,0.9027954118834071,0.9027954118834071,0.9027954118834071,0.9027954118834071,0.2983220444823612,-0.18049162157889373,-0.4179299515752847,-1.620957693810434,-0.032419153876208674,0
Unknown income group,2020-01-27,258910,-2.434618348134657,-0.6257110291107215,-0.7705059923321597,-0.7705059923321597,-2.434618348134657,-2.434618348134657,-2.434618348134657,0,0,0
Upper middle income,2020-01-27,2928412447,-1.2315063564376725,-1.2315063564376725,-1.2315063564376725,-1.2315063564376725,-1.454395935588318,-1.454395935588318,-1.454395935588318,-74.3631033720093,-1.377094506889061,0
High income,2020-02-03,1241193758,-1.2967423608034865,-1.2686155055493524,-1.2795135060781329,-1.2967423608034865,-1.313544390515456,-1.313544390515456,-1.313544390515456,-98.31428918943337,-1.2768089505121218,0
Low income,2020-02-03,704080579,0.57838666713885,0.57838666713885,0.57838666713885,0.57838666713885,0.32122585886929883,0.12407168533642557,-0.6440681841731526,0.761909968280459,0.02627275752691238,0
Lower middle income,2020-02-03,2994738553,1.0452058180177672,1.0452058180177672,1.0452058180177672,1.0452058180177672,0.3721581772652605,-0.21669309565463438,-0.6957240119028425,-3.4114087142896534,-0.06822817428579307,0
Unknown income group,2020-02-03,258910,-3.0528023235433404,-0.9754942229948245,-1.1634197975671456,-1.1634197975671456,-3.0528023235433404,-3.0528023235433404,-3.3686658283402986,0,0,0
Upper middle income,2020-02-03,2928412447,-0.9573350400006123,-0.9573350400006123,-0.9573350400006123,-0.9573350400006123,-1.2349399211128647,-1.2349399211128647,-1.2349399211128647,-61.20613190235546,-1.1334468870806567,0.011712830969264077
High income,2020-02-10,1241193758,-1.9679953141964603,-1.9336450028098917,-1.9448799513311747,-1.9679953141964603,-1.9861516291860815,-1.9861516291860815,-1.9861516291860815,-149.68224973291345,-1.943925321206668,8.064816581199725e-5
Low income,2020-02-10,704080579,0.633905211580111,0.633905211580111,0.633905211580111,0.633905211580111,0.42226094712253376,0.1373300514592341,-0.7943829857774495,1.1428649524206886,0.03940913629036857,0
Lower middle income,2020-02-10,2994738553,1.1708501386733043,1.1708501386733043,1.1708501386733043,1.1708501386733043,0.4315807524569846,-0.22289907381461832,-1.0063656603300357,-5.24666052932647,-0.1049332105865294,0
Unknown income group,2020-02-10,258910,-3.7287223289431597,-1.4074920499574797,-1.718621977427743,-1.718621977427743,-3.7287223289431597,-3.7287223289431597,-5.005611266411643,0,0,0
Upper middle income,2020-02-10,2928412447,-1.0811343411523504,-1.0811343411523504,-1.0811343411523504,-1.0811343411523504,-1.413794737447915,-1.413794737447915,-1.413794737447915,-69.45890867383763,-1.2862760865525487,0.03172360508683496
High income,2020-02-17,1241193758,-2.8138012545978976,-2.77369002944431,-2.785558405601752,-2.8138012545978976,-2.8335686379840563,-2.8335686379840563,-2.8335686379840563,-214.49570704843487,-2.785658533096557,3.22592663247989e-4
Low income,2020-02-17,704080579,0.6899249973024105,0.6899249973024105,0.6899249973024105,0.6899249973024105,0.5237735415606221,0.1392705978274893,-0.935362624698141,1.523819936560918,0.05254551505382476,0
Lower middle income,2020-02-17,2994738553,1.3541425492806858,1.3541425492806858,1.3541425492806858,1.3541425492806858,0.4336091215834258,-0.20031941462010236,-1.3141435182576864,-7.190714274003162,-0.14381428548006323,0
Unknown income group,2020-02-17,258910,-4.273900202390427,-1.6380040182844544,-2.2367231630072966,-2.2367231630072966,-4.273900202390427,-4.273900202390427,-6.173851021288777,0,0,0
Upper middle income,2020-02-17,2928412447,-1.3877102739882348,-1.3877102739882348,-1.3877102739882348,-1.3877102739882348,-1.7952633979142667,-1.7952633979142667,-1.7952633979142667,-87.7800169418002,-1.6255558692925962,0.060817799139753485
High income,2020-02-24,1241193758,-3.5530202139949574,-3.5065316377755216,-3.519429881015881,-3.5530202139949574,-3.576587705545666,-3.576587705545666,-3.576587705545666,-271.10147590213074,-3.52079838833936,0.0016924835356769495
Low income,2020-02-24,704080579,0.4811152117365898,0.4811152117365898,0.4811152117365898,0.4811152117365898,0.4809799772014221,-0.5592516661470197,-1.1742182583519976,1.9047749207011475,0.06568189381728094,0
Lower middle income,2020-02-24,2994738553,1.4254281508347462,1.4254281508347462,1.4254281508347462,1.4254281508347462,0.4177588455892541,-0.3034580845811775,-1.591291144620379,-9.31588533550077,-0.1863177067100154,0
Unknown income group,2020-02-24,258910,-4.962181337277986,-1.9297915786470092,-2.9161597592760704,-2.9161597592760704,-4.962181337277986,-4.962181337277986,-7.727227850501483,0,0,0
Upper middle income,2020-02-24,2928412447,-1.6914284771563812,-1.6914284771563812,-1.6914284771563812,-1.6914284771563812,-2.1773900452804873,-2.1773900452804873,-2.1773900452804873,-105.67177614612727,-1.956884743446801,0.08615576001203905
High income,2020-03-02,1241193758,-4.056167814548934,-3.9968766613499738,-4.018747264050086,-4.056167814548934,-4.082053102468328,-4.082053102468328,-4.082053102468328,-309.49780758883077,-4.019452046608192,0.007976836763950276
Low income,2020-03-02,704080579,0.5296532416856555,0.6792263556021979,0.6792263556021979,0.6792263556021979,0.5296532416856555,-0.7205962743040155,-0.859228585445985,2.2857299048413773,0.07881827258073713,0
Lower middle income,2020-03-02,2994738553,1.129438078930981,1.129438078930981,1.129438078930981,1.129438078930981,0.32978297628773606,-0.19697689764974996,-1.9963416723473082,-11.991854689557018,-0.23983709379114038,0
Unknown income group,2020-03-02,258910,-6.077967664041484,-2.3974214742912148,-3.5697748607923088,-3.5697748607923088,-6.077967664041484,-6.077967664041484,-9.700617710223113,0,0,0
Upper middle income,2020-03-02,2928412447,-2.230622631296667,-2.230622631296667,-2.230622631296667,-2.230622631296667,-2.702365800246259,-2.702365800246259,-2.702365800246259,-131.11086006406572,-2.427978890075291,0.09892704844113784
High income,2020-03-09,1241193758,-3.7986321976775836,-3.7259142193564414,-3.7570941776179763,-3.7986321976775836,-3.8256793913431837,-3.8256793913431837,-3.8256793913431837,-289.3092023699748,-3.7572623684412316,0.0499533611093136
Low income,2020-03-09,704080579,0.470971201730585,0.6561723642119335,0.6561723642119335,0.6561723642119335,0.470971201730585,-0.8860377868880018,-1.2725317319011897,2.666684888981606,0.09195465134419332,0
Lower middle income,2020-03-09,2994738553,0.8286340421272864,0.8286340421272864,0.8286340421272864,0.8286340421272864,0.09955544718238725,-0.3557994458523915,-2.433252882880643,-14.648122824640112,-0.2929624564928022,3.3425288461232825e-5
Unknown income group,2020-03-09,258910,-7.328428605160261,-2.7510034276688446,-4.482984734067992,-4.482984734067992,-7.328428605160261,-7.328428605160261,-11.433114165768831,0,0,0
Upper middle income,2020-03-09,2928412447,-2.335238178901311,-2.335238178901311,-2.335238178901311,-2.335238178901311,-2.7902215502622774,-2.7902215502622774,-2.7902215502622774,-133.07541285437193,-2.4643594973031835,0.11210828595416088
High income,2020-03-16,1241193758,-2.3914240625265952,-2.312586431171995,-2.3490865839144752,-2.3914240625265952,-2.421660860550302,-2.421660860550302,-2.421660860550302,-180.6793990767077,-2.3464857022949057,0.24541124061953268
Low income,2020-03-16,704080579,0.5203577065569924,0.6101316303788389,0.6101316303788389,0.6101316303788389,0.5203577065569924,-1.0203236904232393,-1.750859284014243,3.047639873121836,0.10509103010764952,0
Lower middle income,2020-03-16,2994738553,0.7418958142747799,0.7418958142747799,0.7418958142747799,0.7418958142747799,-0.05024498687318606,-0.4576163854108807,-2.8255302932824313,-17.265322440742544,-0.34530644881485084,7.012298278580314e-4
Unknown income group,2020-03-16,258910,-8.487863835996441,-3.2791750670557556,-5.565454907475455,-5.565454907475455,-8.487863835996441,-8.487863835996441,-12.846551175132209,0,0,0
Upper middle income,2020-03-16,2928412447,-2.5316543604337896,-2.5316543604337896,-2.5316543604337896,-2.5316543604337896,-2.9606649583608413,-2.9606649583608413,-2.9606649583608413,-140.27304442717397,-2.5976489708735917,0.13707095816069656
High income,2020-03-23,1241193758,0.5417132556248474,0.6207597237526488,0.5838353399296395,0.5417132556248474,0.5055796187829675,0.5055796187829675,0.5055796187829675,45.54423923163959,0.5914836263849292,0.9207290905502604
Low income,2020-03-23,704080579,0.5875957890042051,0.5875957890042051,0.5875957890042051,0.5875957890042051,0.5056467987037319,-1.4817998737142473,-2.3284259986427696,3.8801584593212604,0.13379856756280206,9.942043863703843e-4
Lower middle income,2020-03-23,2994738553,0.35463040112873206,0.35463040112873206,0.35463040112873206,0.35463040112873206,-0.38791153871155737,-0.8117865644486114,-3.3592990984109727,-19.84779448441772,-0.3969558896883544,0.0034065745037343163
Unknown income group,2020-03-23,258910,-9.665238460417461,-3.8387739178201032,-6.918055086472779,-6.918055086472779,-9.665238460417461,-9.665238460417461,-14.734270875363865,0,0,0
Upper middle income,2020-03-23,2928412447,-2.2927727496463137,-2.2927727496463137,-2.2927727496463137,-2.2927727496463137,-2.691970866523286,-2.691970866523286,-2.691970866523286,-122.80330969551,-2.2741353647316664,0.17948407524986865
High income,2020-03-30,1241193758,5.235389339775171,5.315650766282586,5.273463625605294,5.235389339775171,5.193735431893179,5.193735431893179,5.193735431893179,407.06348865439577,5.286538813693451,2.627151787529373
Low income,2020-03-30,704080579,0.6057895996703833,0.6057895996703833,0.6057895996703833,0.6057895996703833,0.3431970213132296,-2.3030257592325993,-2.6684983362718473,4.712677045520684,0.16250610501795462,0.004830839113373698
Lower middle income,2020-03-30,2994738553,-0.26991418645504134,-0.26991418645504134,-0.26991418645504134,-0.26991418645504134,-0.8718909357129329,-1.6467910848652172,-4.137319327581549,-22.394203279803055,-0.44788406559606114,0.010285872858297556
Unknown income group,2020-03-30,258910,-10.637664884654876,-4.499210308781297,-8.08576097551885,-8.08576097551885,-10.637664884654876,-10.637664884654876,-15.963974093026815,0,0,0
Upper middle income,2020-03-30,2928412447,-2.2908441339344385,-2.2908441339344385,-2.2908441339344385,-2.2908441339344385,-2.6202901288586813,-2.6202901288586813,-2.6875136778039446,-112.77262175668884,-2.0883818843831268,0.23579482484012265
High income,2020-04-06,1241193758,10.397997523721989,10.483546570294386,10.436173061736021,10.397997523721989,10.327690076237124,10.327690076237124,10.327690076237124,804.8370930706781,10.452429780138676,5.572865521935697
Low income,2020-04-06,704080579,0.6560786163342744,0.6560786163342744,0.6560786163342744,0.6560786163342744,0.2077829756532261,-2.7497567726426273,-3.6255255312899166,5.545195631720109,0.19121364247310718,0.009946020681249324
Lower middle income,2020-04-06,2994738553,-0.9044377378712646,-0.9044377378712646,-0.9044377378712646,-0.9044377378712646,-1.40516995217511,-2.490615709955739,-4.972862054019014,-27.515900609971887,-0.5503180121994377,0.029286162530662817
Unknown income group,2020-04-06,258910,-11.672323571985357,-5.013509350160729,-9.198083899497442,-9.198083899497442,-11.672323571985357,-11.672323571985357,-17.080176523590442,0,0,0
Upper middle income,2020-04-06,2928412447,-2.1740043474726773,-2.1740043474726773,-2.1740043474726773,-2.1740043474726773,-2.4830092916635285,-2.4830092916635285,-2.6554523596332134,-98.81841976544406,-1.829970736397112,0.3322299087332079
High income,2020-04-13,1241193758,14.95909568002057,15.046476595605716,14.985640592713072,14.95909568002057,14.854265591462342,14.854265591462342,14.854265591462342,1154.9918018721141,14.999893530806679,9.111316768320389
Low income,2020-04-13,704080579,0.826534433380705,0.826534433380705,0.826534433380705,0.826534433380705,0.07811433647568053,-3.243872399481639,-4.702530615114846,6.377714217919533,0.21992117992825977,0.01591323540824437
Lower middle income,2020-04-13,2994738553,-1.531999101191771,-1.531999101191771,-1.531999101191771,-1.531999101191771,-2.0430204574893245,-3.5471816469268265,-5.865558216580243,-32.74645552294153,-0.6549291104588307,0.0574029074517344
Unknown income group,2020-04-13,258910,-12.704335299140737,-5.702885574096524,-10.418204593565891,-10.418204593565891,-12.704335299140737,-12.704335299140737,-18.160044057930786,0,0,0
Upper middle income,2020-04-13,2928412447,-2.0517509616283323,-2.0517509616283323,-2.0517509616283323,-2.0517509616283323,-2.391826084523586,-2.391826084523586,-2.5931376324434683,-85.79202150716844,-1.5887411390216377,0.46575044488601713
High income,2020-04-20,1241193758,18.531653460642477,18.621893949335945,18.532038689445063,18.531653460642477,18.398243905889807,18.398243905889807,18.398243905889807,1429.0694828997773,18.55934393376334,12.47775450059909
Low income,2020-04-20,704080579,0.933815171552806,0.933815171552806,0.933815171552806,0.933815171552806,-0.1627289067966446,-3.626534354213393,-5.250313066022063,7.2102328041189585,0.24862871738341233,0.025713108044697255
Lower middle income,2020-04-20,2994738553,-1.9958986001400758,-1.9958986001400758,-1.9958986001400758,-1.9958986001400758,-2.717445461516956,-4.570317447155748,-6.6379705690308874,-38.02041990144526,-0.7604083980289051,0.08685526145159957
Unknown income group,2020-04-20,258910,-13.604865750279075,-6.828841963645885,-11.43542125579224,-11.43542125579224,-13.604865750279075,-13.604865750279075,-19.16668734426123,0,0,0
Upper middle income,2020-04-20,2928412447,-1.929758403158004,-1.929758403158004,-1.929758403158004,-1.929758403158004,-2.325475927381596,-2.325475927381596,-2.598730923703668,-72.02478908046055,-1.3337923903788993,0.6847435722567805
High income,2020-04-27,1241193758,20.992635596333198,21.095477905678052,21.01281256841195,20.992635596333198,20.856932349079063,20.856932349079063,20.856932349079063,1617.197125657912,21.00256007347938,15.316071948856836
Low income,2020-04-27,704080579,1.1944695467735638,1.1944695467735638,1.1944695467735638,1.1944695467735638,-0.3917438154499058,-3.868289713625689,-5.762361128819852,8.042751390318381,0.2773362548385649,0.037786726112779195
Lower middle income,2020-04-27,2994738553,-2.384833174535384,-2.384833174535384,-2.384833174535384,-2.384833174535384,-3.2250283463751077,-5.241917542668683,-7.181383178572891,-43.221923864403635,-0.8644384772880728,0.11807658456387461
Unknown income group,2020-04-27,258910,-14.364555894549671,-7.735406600565535,-12.373228278042552,-12.373228278042552,-14.364555894549671,-14.364555894549671,-20.119084578702175,0,0,0.38662083349426435
Upper middle income,2020-04-27,2928412447,-1.7480982043447417,-1.6732901226505714,-1.7480982043447417,-1.7480982043447417,-2.1407922596386895,-2.1407922596386895,-2.505794352660378,-55.59064953552863,-1.0294564728801598,0.9238837250441451
High income,2020-05-04,1241193758,22.704561412407358,22.852937013135563,22.708937055021305,22.704561412407358,22.5411124860241,22.5411124860241,22.5411124860241,1744.0638606635378,22.650180008617376,17.626430409425243
Low income,2020-05-04,704080579,1.5686081463189028,1.5686081463189028,1.5686081463189028,1.5686081463189028,-0.4913622738331139,-4.145504027660398,-6.184079364154506,8.875269976517805,0.3060437922937175,0.052558614885470374
Lower middle income,2020-05-04,2994738553,-2.1575609029774343,-2.1575609029774343,-2.1575609029774343,-2.1575609029774343,-3.063104091267019,-5.067142791947896,-7.233039650842884,-41.553844450146364,-0.8310768890029272,0.164692006087117
Unknown income group,2020-05-04,258910,-15.87283319399125,-9.655891648304772,-13.677282368019073,-13.677282368019073,-15.87283319399125,-15.87283319399125,-22.124599639822335,0,0,0.38662083349426435
Upper middle income,2020-05-04,2928412447,-0.9460429173205422,-0.9460429173205422,-0.9460429173205422,-0.9460429173205422,-1.339996456809341,-1.339996456809341,-1.5438278370316774,-12.639212610157967,-0.2340594927807031,1.2422822146268522
High income,2020-05-11,1241193758,24.241120326312284,24.424590971035162,24.299447225992356,24.241120326312284,24.03978304258341,24.03978304258341,24.03978304258341,1856.6447656883786,24.112269684264657,19.545470998090533
Low income,2020-05-11,704080579,1.9999104340505813,1.9999104340505813,1.9999104340505813,1.9999104340505813,-0.5459715300229463,-4.441273483955985,-6.174585634823186,9.707788562717228,0.33475132974886995,0.08039832611261387
Lower middle income,2020-05-11,2994738553,-1.9021437156503904,-1.9021437156503904,-1.9021437156503904,-1.9021437156503904,-2.7770868671738853,-4.695048596262445,-7.319793269642991,-39.82198651345057,-0.7964397302690115,0.21975514334656512
Unknown income group,2020-05-11,258910,-17.222011847919024,-11.11378248912523,-14.981226512489105,-14.981226512489105,-17.222011847919024,-17.222011847919024,-24.11924460433918,0,0,0.38662083349426435
Upper middle income,2020-05-11,2928412447,-0.04450823186703499,-0.04450823186703499,-0.04450823186703499,-0.04450823186703499,-0.47207522007412067,-0.47207522007412067,-0.5379793737515581,33.964566392558055,0.628973451714038,1.6359772356888906
High income,2020-05-18,1241193758,25.391085253583235,25.580639370739966,25.444141083303577,25.391085253583235,25.210567833705078,25.210567833705078,25.210567833705078,1937.7048314020044,25.16499781041564,21.11686385068011
Low income,2020-05-18,704080579,2.451240577275974,2.451240577275974,2.451240577275974,2.451240577275974,-0.5738173212961696,-4.755117379917401,-6.408432300194562,10.540307148916654,0.36345886720402254,0.11150201034021136
Lower middle income,2020-05-18,2994738553,-1.3864633480773958,-1.3864633480773958,-1.3864633480773958,-1.3864633480773958,-2.4116991560890084,-4.285952352584846,-7.302627442508684,-38.094803442273836,-0.7618960688454768,0.28072918056830454
Unknown income group,2020-05-18,258910,-18.436809835483785,-11.995398897627345,-16.404616369077715,-16.404616369077715,-18.436809835483785,-18.436809835483785,-25.54091902515925,0,0,0.38662083349426435
Upper middle income,2020-05-18,2928412447,0.9204208364958295,0.988674338026529,0.9204208364958295,0.9204208364958295,0.49624024701610964,0.49624024701610964,0.1377492821439101,83.11738387093246,1.5392108124246748,2.0898076042086973
High income,2020-05-25,1241193758,26.27865500872032,26.41417636714831,26.3096368792411,26.27865500872032,26.135711759702126,26.135711759702126,26.06942703481744,1994.8618974358653,25.907297369296952,22.135885008213197
Low income,2020-05-25,704080579,2.9187783507512384,2.9187783507512384,2.9187783507512384,2.9187783507512384,-0.6040429980405181,-4.89548974547721,-6.346753870875773,11.372825735116079,0.3921664046591751,0.14402840104470485
Lower middle income,2020-05-25,2994738553,-0.09381917723435403,-0.09381917723435403,-0.09381917723435403,-0.09381917723435403,-1.7252529142009112,-3.536762781747341,-6.783492061813926,-36.471469169413226,-0.7294293833882645,0.3490827267551459
Unknown income group,2020-05-25,258910,-19.794118098473287,-12.852034487966492,-17.647446480026627,-17.647446480026627,-19.794118098473287,-19.794118098473287,-27.209935945132525,0,0,0.38662083349426435
Upper middle income,2020-05-25,2928412447,1.888832339117893,2.143540499348196,1.888832339117893,1.888832339117893,1.3587303461311708,1.3587303461311708,0.8535799588845505,132.4362722183534,2.452523559599137,2.62426097385045
High income,2020-06-01,1241193758,27.119598856864222,27.253702245030006,27.135874977559368,27.128168961062546,27.119598856864222,27.119598856864222,26.889979290249858,2048.585815077403,26.60501058542082,23.100280850751748
Low income,2020-06-01,704080579,3.86825627981122,3.86825627981122,3.86825627981122,3.86825627981122,0.084254489755609,-4.705297730618894,-5.565426509680452,12.205344321315502,0.42087394211432766,0.18606932772676293
Lower middle income,2020-06-01,2994738553,1.7025726284711284,1.7025726284711284,1.7025726284711284,1.7025726284711284,-0.24861187765973292,-1.8336389958937402,-5.712341586321702,-16.411444066932688,-0.32822888133865374,0.4445170676640366
Unknown income group,2020-06-01,258910,-20.959650090443077,-13.525490315904136,-18.801778582842424,-18.801778582842424,-20.959650090443077,-20.959650090443077,-28.406048343104658,0,0,0.38662083349426435
Upper middle income,2020-06-01,2928412447,3.306564480318985,3.736197790669531,3.306564480318985,3.306564480318985,2.5489098397319476,2.5489098397319476,1.8475754761621659,185.24432388386842,3.43045044229386,3.1780770873085964
High income,2020-06-08,1241193758,27.877521624457675,28.087056743611598,28.087056743611598,28.087056743611598,27.877521624457675,27.85205741962242,27.557110153080714,2092.6556509748402,27.177346116556365,23.93464083147605
Low income,2020-06-08,704080579,5.092702585322232,5.092702585322232,5.092702585322232,5.092702585322232,0.7181124673975494,-4.68037429666682,-5.124227642844372,13.037862907514928,0.44958147956948025,0.22796907738595643
Lower middle income,2020-06-08,2994738553,3.9168434497700706,3.9168434497700706,3.9168434497700706,3.9168434497700706,1.5470297957687074,-0.38257962926814987,-4.930683354468916,3.6829746890094546,0.07365949378018913,0.5632923108797339
Unknown income group,2020-06-08,258910,-21.897103589401112,-14.26708225707052,-20.059022035868825,-20.059022035868825,-21.897103589401112,-21.897103589401112,-29.695552633740515,0,0,0.38662083349426435
Upper middle income,2020-06-08,2928412447,4.864385358220876,5.37916581215961,4.864385358220876,4.864385358220876,3.8871083825843114,3.8871083825843114,3.0068475839593605,242.10272713566738,4.483383835845693,3.8260050804926795
High income,2020-06-15,1241193758,28.44592380955443,28.844898639369507,28.844898639369507,28.844898639369507,28.44592380955443,28.39650204469868,28.00531351617196,2121.033897324338,27.545894770445948,24.635499335148925
Low income,2020-06-15,704080579,6.556917586813113,6.556917586813113,6.556917586813113,6.556917586813113,1.545088157798537,-3.9900003884918225,-4.572698078437622,13.87038149371435,0.4782890170246328,0.2879076714314542
Lower middle income,2020-06-15,2994738553,6.102613006372899,6.102613006372899,6.102613006372899,6.102613006372899,3.825212766083335,1.2487227550322413,-3.966070252050621,23.785407500127118,0.47570815000254246,0.7162604554748924
Unknown income group,2020-06-15,258910,-22.82626605758506,-15.053957595532598,-21.17592604402132,-21.17592604402132,-22.82626605758506,-22.82626605758506,-30.93457949739981,0,0,0.38662083349426435
Upper middle income,2020-06-15,2928412447,6.50562998469314,6.931004218080926,6.50562998469314,6.50562998469314,5.327634496139003,5.327634496139003,4.374996788677556,301.24110430536166,5.57853896861781,4.4664884939276455
High income,2020-06-22,1241193758,29.369467508701906,29.965870056200373,29.965870056200373,29.965870056200373,29.369467508701906,29.23563354276244,28.785778150446358,2176.026968947554,28.26009050581239,25.33853082751323
Low income,2020-06-22,704080579,7.961542152160667,7.961542152160667,7.961542152160667,7.961542152160667,2.476784890399292,-2.889130843314522,-4.174345585015787,14.834704208862417,0.5115415244435315,0.33918177424973395
Lower middle income,2020-06-22,2994738553,8.60017712928498,8.60017712928498,8.60017712928498,8.60017712928498,5.94530934307025,3.022565027865427,-2.4712229481671812,44.08351682511373,0.8816703365022747,0.9430250921807264
Unknown income group,2020-06-22,258910,-23.546255774775467,-15.61522780760095,-22.23688796938412,-22.23688796938412,-23.546255774775467,-23.546255774775467,-32.18900967831725,0,0,0.38662083349426435
Upper middle income,2020-06-22,2928412447,8.317501179518064,8.412908046133207,8.317501179518064,8.317501179518064,6.854988398868684,6.854988398868684,5.896599387801421,364.07593209323625,6.742146890615485,5.193025837456427
High income,2020-06-29,1241193758,30.19058409210821,30.97738847408789,30.97738847408789,30.97738847408789,30.19058409210821,29.965622648805816,29.46434086606786,2222.6913804132646,28.866121823548895,25.8967041147495
Low income,2020-06-29,704080579,9.523174842022973,9.523174842022973,9.523174842022973,9.523174842022973,3.4558800717640015,-1.9211008988597311,-3.897793481244811,15.79902692401048,0.5447940318624304,0.387186933045628
