World_Bank_income_group,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Upper middle income,2020-02-03,2928412447,-29568.638637908145,-23594.297045453255,-23594.297045453255,-25946.941549180297,-34061.794178294105,-35549.22976263869,-35549.22976263869,-1792838.5539225538,-33200.713961528774,343
High income,2020-02-10,1241193758,-23204.76071335314,-22856.669785423033,-22856.669785423033,-22923.099766878702,-23253.63311977441,-23652.574143282545,-23652.574143282545,-1760301.4132529837,-22861.057314973812,1.001
Low income,2020-02-10,704080579,867.0763161697212,7490.078514691731,7490.078514691731,5958.869526721773,867.0763161697212,-4094.6482929613862,-4094.6482929613862,8046.690174191659,277.47207497212617,0
Lower middle income,2020-02-10,2994738553,17227.401857635756,30942.865026340456,30942.865026340456,17227.401857635756,-17686.657958201416,-41570.441576530466,-41570.441576530466,-157123.76561677366,-3142.475312335473,0
Unknown income group,2020-02-10,258910,-10.563061535648917,-1.6545822507302879,-1.6545822507302879,-4.508262527170548,-11.387856174102666,-14.566323964250715,-14.566323964250715,0,0,0
Upper middle income,2020-02-10,2928412447,-33339.354555710466,-25164.920226248076,-25164.920226248076,-27182.946304627167,-39044.08386933121,-41062.786765275705,-41062.786765275705,-2034749.1806051317,-37680.54038157651,928.998
High income,2020-02-17,1241193758,-33146.93727529589,-32743.816935550232,-32743.816935550232,-32853.36739583629,-33196.785843071,-33711.6704569421,-33711.6704569421,-2521764.1962641436,-32750.184367066795,4.004
Low income,2020-02-17,704080579,638.7526244433034,9222.848849687241,9222.848849687241,7706.296995337265,638.7526244433034,-4752.916104639628,-4752.916104639628,10728.920232255545,369.9627666295015,0
Lower middle income,2020-02-17,2994738553,19802.181154730068,40888.41199334131,40888.41199334131,19802.181154730068,-20324.814665990794,-51373.577168321455,-51373.577168321455,-215343.09259964677,-4306.861851992935,0
Unknown income group,2020-02-17,258910,-12.181580763135967,-2.7498959867119273,-2.7498959867119273,-5.812462885924496,-14.866616083350996,-18.87652779157823,-18.87652779157823,0,0,0
Upper middle income,2020-02-17,2928412447,-42453.87703234755,-31486.150530910283,-31486.150530910283,-34258.42284183043,-49636.103787780485,-52039.34579655613,-52039.34579655613,-2571502.080035863,-47620.408889553015,1780.996
High income,2020-02-24,1241193758,-41595.57815237493,-41115.67184729955,-41115.67184729955,-41272.859967839555,-41675.6155594591,-42221.20574345124,-42221.20574345124,-3167736.8166848086,-41139.43917772479,21.006999999999998
Low income,2020-02-24,704080579,-1325.450418668228,10225.935590292307,10225.935590292307,7455.620986389083,-1325.450418668228,-8319.78283085521,-8319.78283085521,13411.15029031943,462.45345828687687,0
Lower middle income,2020-02-24,2994738553,19899.068470991573,44275.41520954126,44275.41520954126,23383.028282598316,-29036.063854949873,-62246.182872983925,-62246.182872983925,-278986.40969551494,-5579.7281939102995,0
Unknown income group,2020-02-24,258910,-14.459188882418422,-1.0303958781420293,-1.0303958781420293,-6.999586709219146,-15.63668591007285,-23.400779707787155,-23.400779707787155,0,0,0
Upper middle income,2020-02-24,2928412447,-51768.71229345689,-39373.35613096159,-39373.35613096159,-41832.65212547506,-59837.74723040601,-63038.06446426597,-63038.06446426597,-3099430.734147709,-57396.865447179785,2522.996
High income,2020-03-02,1241193758,-46937.44424633663,-46385.362975927084,-46385.362975927084,-46576.79227343867,-46988.47935363982,-47720.08878993363,-47720.08878993363,-3574391.747448404,-46420.67204478446,99.00800000000001
Low income,2020-03-02,704080579,-1507.7589828216464,12898.82328156358,12898.82328156358,7637.828135025684,-1507.7589828216464,-6762.1194407590165,-6762.1194407590165,16093.380348383318,554.9441499442523,0
Lower middle income,2020-03-02,2994738553,11705.425999161353,30048.894964834682,30048.894964834682,11910.419167985077,-42478.806426562114,-83013.34823856848,-83013.34823856848,-359124.6956079025,-7182.49391215805,0
Unknown income group,2020-03-02,258910,-17.42464856425709,-3.0566175430351374,-3.0566175430351374,-8.110260954279171,-19.514089833325297,-27.76019345687826,-27.76019345687826,0,0,0
Upper middle income,2020-03-02,2928412447,-67851.00186780951,-58178.28153885773,-58178.28153885773,-59396.973026830936,-75619.00098813717,-78874.21436996567,-78874.21436996567,-3844674.375383437,-71197.6736182118,2896.992
High income,2020-03-09,1241193758,-43108.752049217925,-42471.62219974594,-42471.62219974594,-42650.67455779169,-43185.1343938924,-44037.16528973943,-44037.16528973943,-3276152.231545347,-42547.431578510994,619.0169999999999
Low income,2020-03-09,704080579,-2438.3471878092087,16360.389397943482,16360.389397943482,8626.4520941962,-4247.997818755779,-6841.7393812448445,-6841.7393812448445,18775.610406447202,647.4348416016277,0
Lower middle income,2020-03-09,2994738553,2561.4372309328332,17451.553221821636,17451.553221821636,4928.886599678024,-59595.154573412394,-105669.69593477953,-105669.69593477953,-438672.98152029,-8773.4596304058,1.001
Unknown income group,2020-03-09,258910,-20.41446128446059,-2.0562340722840116,-2.0562340722840116,-9.120626274505867,-20.41446128446059,-30.454813496915843,-30.454813496915843,0,0,0
Upper middle income,2020-03-09,2928412447,-71015.04132647743,-63498.618169275134,-63498.618169275134,-64069.2152498793,-77313.52491873573,-81591.40936574092,-81591.40936574092,-3902486.925202693,-72268.27639264247,3282.993
High income,2020-03-16,1241193758,-25040.83021940374,-24342.628859809407,-24342.628859809407,-24505.571820765053,-25135.303352177245,-26067.287816991036,-26067.287816991036,-1882860.552308899,-24452.734445570113,3043.026
Low income,2020-03-16,704080579,-2416.700664388853,20186.995265130998,20186.995265130998,7823.582749424533,-4289.423801094951,-13043.99548852795,-13043.99548852795,21457.84046451109,739.925533259003,0
Lower middle income,2020-03-16,2994738553,-963.5024028973684,15064.585223297052,15064.585223297052,-963.5024028973684,-71976.53094303682,-123315.719666882,-123315.719666882,-517051.2674326775,-10341.02534865355,21
Unknown income group,2020-03-16,258910,-23.206985032632886,2.1237844971171564,2.1237844971171564,-10.435825426574283,-23.223851145105847,-32.69725820944442,-32.69725820944442,0,0,0
Upper middle income,2020-03-16,2928412447,-77005.92336720915,-69624.81289164547,-69624.81289164547,-73503.91182444461,-82150.1015495812,-88704.93071956298,-88704.93071956298,-4113545.6054498735,-76176.77047129394,4014.003
High income,2020-03-23,1241193758,12123.59451108623,12862.210905607984,12862.210905607984,12734.836589114886,12040.832062217773,10870.079530896584,10870.079530896584,980917.0669275252,12739.18268737046,11420.030999999999
Low income,2020-03-23,704080579,-1997.6433900541504,22389.916344668745,22389.916344668745,7039.58127896052,-5563.737520294971,-19789.243053924074,-19789.243053924074,27319.44214650661,942.049729189883,6.999999999999999
Lower middle income,2020-03-23,2994738553,-13309.594681972714,5585.346662933706,5585.346662933706,-13309.594681972714,-93384.62076645475,-142809.30875351955,-142809.30875351955,-594389.553345065,-11887.7910669013,102.018
Unknown income group,2020-03-23,258910,-25.960220810969805,4.492826105433587,4.492826105433587,-10.83381637659578,-25.960220810969805,-35.41255452332513,-35.41255452332513,0,0,0
Upper middle income,2020-03-23,2928412447,-70338.38137543394,-63429.426667175205,-63429.426667175205,-68107.3977092748,-74855.1552069378,-82475.59956250203,-82475.59956250203,-3602242.0604899875,-66708.18630537014,5256.034
High income,2020-03-30,1241193758,71076.6480586984,71892.73269186835,71892.73269186835,71687.65432998714,70971.30459452975,69613.28026720113,69613.28026720113,5522358.366163927,71718.93982031074,32589.039
Low income,2020-03-30,704080579,-1827.5661261307064,24307.73916175127,24307.73916175127,6140.463680479012,-9879.643824961628,-25741.091502759442,-25741.091502759442,33181.04382850213,1144.173925120763,34.013
Lower middle income,2020-03-30,2994738553,-31828.323556959553,-5937.279251298657,-5937.279251298657,-31828.323556959553,-118069.62497375136,-170255.47435396988,-170255.47435396988,-670647.8392574525,-13412.956785149052,308.03499999999997
Unknown income group,2020-03-30,258910,-28.29784540520168,6.910078351645252,6.910078351645252,-10.060856823788727,-28.29784540520168,-37.550608570261694,-37.550608570261694,0,0,0
Upper middle income,2020-03-30,2928412447,-70534.17220705893,-65797.84378885564,-65797.84378885564,-70534.17220705893,-78202.10272479008,-89265.01340386868,-89265.01340386868,-3308838.4877498653,-61274.78681018269,6905.045
High income,2020-04-06,1241193758,135975.89893531203,136984.73478749435,136984.73478749435,136704.38457014624,135842.6337764652,134344.06165736372,134344.06165736372,10520659.989916474,136631.94792099315,69131.05500000001
Low income,2020-04-06,704080579,-1354.1434734570075,25746.12950086316,25746.12950086316,5860.658180564305,-11981.547136421836,-34771.759538520084,-34771.759538520084,39042.64551049765,1346.298121051643,70.02799999999999
Lower middle income,2020-04-06,2994738553,-51390.99041641703,-25356.632341209428,-25356.632341209428,-51390.99041641703,-152036.18724901995,-198436.44492626286,-198436.44492626286,-824029.2837719902,-16480.585675439805,877.0439999999999
Unknown income group,2020-04-06,258910,-30.62546568842188,9.503597388041156,9.503597388041156,-11.653568656555564,-30.62546568842188,-39.41265178093024,-39.41265178093024,0,0,0
Upper middle income,2020-04-06,2928412447,-67504.90147771718,-62276.29059061441,-62276.29059061441,-67504.90147771718,-78021.80096989899,-92758.32858157756,-92758.32858157756,-2900484.241138774,-53712.671132199524,9729.062
High income,2020-04-13,1241193758,193610.31355054126,194688.865371446,194688.865371446,194248.9588815338,193254.72786806026,191740.64108265605,191740.64108265605,14944720.253669001,194087.27602167535,113001.084
Low income,2020-04-13,704080579,86.23260534748087,27103.02368865378,27103.02368865378,5612.798578514836,-15255.489019247034,-44231.09583005325,-44231.09583005325,44904.247192493174,1548.4223169825232,112.04199999999999
Lower middle income,2020-04-13,2994738553,-71307.16109241103,-46393.8282471911,-46393.8282471911,-71307.16109241103,-179723.28626766373,-225630.89430841373,-225630.89430841373,-980670.7282865279,-19613.41456573056,1719.067
Unknown income group,2020-04-13,258910,-33.016509103373636,12.22413557795811,12.22413557795811,-13.530885594641454,-33.016509103373636,-40.99071573314926,-40.99071573314926,0,0,0
Upper middle income,2020-04-13,2928412447,-64221.03705770329,-53730.45300064736,-53730.45300064736,-64221.03705770329,-78467.86852728196,-101545.48460630931,-101545.48460630931,-2519299.9145276835,-46653.70212088303,13639.094
High income,2020-04-20,1241193758,238674.88486275662,240038.5936153065,240038.5936153065,239175.93485425174,238143.81768998114,236529.2674669924,236529.2674669924,18399687.264088206,238956.977455691,154800.1
Low income,2020-04-20,704080579,1333.084093077262,29209.72190240005,29209.72190240005,5927.350637846881,-18962.650901119672,-53564.062587622975,-53564.062587622975,50765.84887448869,1750.5465129134031,181.041
Lower middle income,2020-04-20,2994738553,-86865.599700805,-63906.133652552235,-63906.133652552235,-86865.599700805,-208029.73362791492,-250264.10594702477,-250264.10594702477,-1138612.1728010657,-22772.24345602131,2601.0879999999997
Unknown income group,2020-04-20,258910,-35.094247077682994,15.310320552039542,15.310320552039542,-13.894509669742913,-35.37212546202178,-42.19764644839777,-42.19764644839777,0,0,0
Upper middle income,2020-04-20,2928412447,-60482.11346105468,-47543.95447598502,-47543.95447598502,-60482.11346105468,-78973.62778142623,-110869.19575588805,-110869.19575588805,-2116420.907916593,-39192.9797762332,20052.115999999998
High income,2020-04-27,1241193758,270069.5740431757,271618.69426859915,271618.69426859915,270474.53071223194,269549.3399205193,267678.65528792026,267678.65528792026,20796671.964507427,270086.6488897068,190175.11800000002
Low income,2020-04-27,704080579,3802.0348214358905,31845.64775139161,31845.64775139161,6406.226303159915,-26409.74442782909,-63352.470485218895,-63352.470485218895,56627.45055648421,1952.6707088442831,266.049
Lower middle income,2020-04-27,2994738553,-99950.19783117168,-84449.0091935422,-84449.0091935422,-99950.19783117168,-234656.14961896944,-280615.4166688315,-280615.4166688315,-1294383.6173156032,-25887.672346312065,3536.085
Unknown income group,2020-04-27,258910,-36.87410653262329,18.084839054490544,18.084839054490544,-12.984989489578513,-37.680338139618826,-45.1369308251992,-45.1369308251992,0,0,1.001
Upper middle income,2020-04-27,2928412447,-54979.528842623586,-39615.54525543262,-39615.54525543262,-54794.115796163314,-76517.22303363706,-118804.89476710642,-118804.89476710642,-1635443.8613055006,-30285.997431583346,27055.126
High income,2020-05-04,1241193758,292159.84357713093,294363.75059359893,294363.75059359893,292303.85858909675,291309.9089596936,289165.6775757874,289165.6775757874,22443500.301808372,291474.0298936152,218896.139
Low income,2020-05-04,704080579,6922.136420384384,34372.1225206341,34372.1225206341,10435.519481687134,-32938.247766741944,-72590.86003180462,-72590.86003180462,62489.05223847973,2154.794904775163,370.055
Lower middle income,2020-05-04,2994738553,-95870.33786646888,-77666.97408230996,-77666.97408230996,-95870.33786646888,-240451.27474629745,-286124.6492117347,-286124.6492117347,-1244429.000002184,-24888.58000004368,4932.095
Unknown income group,2020-05-04,258910,-40.86900412436827,18.465733685470276,18.465733685470276,-15.306178699583075,-41.230380866151705,-50.67562539987841,-50.67562539987841,0,0,1.001
Upper middle income,2020-05-04,2928412447,-31782.55464918141,-15875.443882551002,-15875.443882551002,-26893.256411045077,-54896.53205048485,-110675.46481830807,-110675.46481830807,-377930.97759763576,-6998.721807363625,36379.147
High income,2020-05-11,1241193758,311868.04667237564,314573.4193729132,314573.4193729132,312859.7458782208,310501.71178130765,308195.1610400709,308195.1610400709,23893512.27577596,310305.35423085664,242696.153
Low income,2020-05-11,704080579,10495.343639920005,37794.29657601196,37794.29657601196,14718.835562458047,-32758.784897858077,-81326.63887088072,-81326.63887088072,68350.65392047525,2356.919100706043,566.069
Lower middle income,2020-05-11,2994738553,-90927.96779335645,-65770.92755733887,-65770.92755733887,-90927.96779335645,-243864.73038502946,-286311.75080945576,-286311.75080945576,-1192564.3826887647,-23851.287653775296,6581.092
Unknown income group,2020-05-11,258910,-44.52568381585123,19.356570893423065,19.356570893423065,-17.56680513810633,-45.487300316197334,-56.87334627101934,-56.87334627101934,0,0,1.001
Upper middle income,2020-05-11,2928412447,-6071.592718015137,19597.370621316688,19597.370621316688,7927.509990175587,-30843.81521789922,-99805.35076700799,-99805.35076700799,986537.5461102291,18269.213816856092,47908.161
High income,2020-05-18,1241193758,326954.7811752941,330126.64002866595,330126.64002866595,328725.98872291297,325239.78764689027,322718.5215726359,322718.5215726359,24970117.62641023,324287.2419014316,262217.179
Low income,2020-05-18,704080579,14202.73154664929,41349.838552683104,41349.838552683104,19965.294369409396,-38375.24091941577,-89722.12061201311,-89722.12061201311,74212.25560247077,2559.043296636923,785.064
Lower middle income,2020-05-18,2994738553,-80342.15576126309,-46889.47108778608,-46889.47108778608,-80342.15576126309,-245574.18849030044,-289688.5175961833,-289688.5175961833,-1140839.7653753457,-22816.795307506913,8407.105
Unknown income group,2020-05-18,258910,-47.805160853701416,19.938905323052044,19.938905323052044,-19.068509517327744,-48.85421317802054,-62.23155477997415,-62.23155477997415,0,0,1.001
Upper middle income,2020-05-18,2928412447,21633.36951992086,66522.37831392285,66522.37831392285,35328.53559770519,-6757.224133977129,-84704.06666710379,-84704.06666710379,2425652.429818093,44919.48944107579,61198.185999999994
High income,2020-05-25,1241193758,338530.1563607497,341651.7673624311,341651.7673624311,340328.43328993086,335742.6557719325,332964.26466838253,332964.26466838253,25735220.503711175,334223.64290533995,274862.21
Low income,2020-05-25,704080579,18007.82735974656,45168.29599586768,45168.29599586768,25883.827378374353,-42846.818712592016,-98114.02406405698,-98114.02406405698,80073.8572844663,2761.167492567803,1014.076
Lower middle income,2020-05-25,2994738553,-33356.71086703615,-15005.29838661748,-15005.29838661748,-33356.71086703615,-242360.1534381704,-302992.6667581694,-302992.6667581694,-1092225.1480619267,-21844.502961238533,10454.115
Unknown income group,2020-05-25,258910,-51.312379368328195,20.46495791159149,20.46495791159149,-20.12038304231486,-51.641637543748075,-68.43923233822227,-68.43923233822227,0,0,1.001
Upper middle income,2020-05-25,2928412447,50280.899204034795,115719.13481432496,115719.13481432496,66625.1645416356,18448.102287547026,-70355.66735683626,-70355.66735683626,3869630.5535259563,71659.82506529549,76849.185
High income,2020-06-01,1241193758,349565.4231242985,353593.22306455765,353593.22306455765,351286.4401930039,345863.55634247715,342857.6479123261,342857.6479123261,26453368.557463713,343550.2410060222,286809.229
Low income,2020-06-01,704080579,25249.754883158792,52767.214819017805,52767.214819017805,34799.13588254559,-45700.90652846237,-99282.3185891018,-99282.3185891018,85935.45896646181,2963.291688498683,1310.078
Lower middle income,2020-06-01,2994738553,13529.03883249494,45530.73525256021,45530.73525256021,13529.03883249494,-210951.97534903238,-296212.2499245736,-296212.2499245736,-491479.84257646435,-9829.596851529286,13312.124
Unknown income group,2020-06-01,258910,-54.2589408986927,21.798685785661547,21.798685785661547,-20.037299276089332,-54.2589408986927,-71.78190415027652,-71.78190415027652,0,0,1.001
Upper middle income,2020-06-01,2928412447,92017.05787002918,176515.1478873335,176515.1478873335,113412.44670219057,53851.744091297915,-31731.067263617508,-31731.067263617508,5415798.370137047,100292.56240994531,93067.205
High income,2020-06-08,1241193758,359781.69720440655,364959.3753192268,364959.3753192268,360994.884845057,354661.03109223227,351702.7900395529,351702.7900395529,27058369.217882913,351407.3924400378,297167.248
Low income,2020-06-08,704080579,34046.68950011232,63965.80942214267,63965.80942214267,39482.17994284664,-47485.06384047994,-99947.76147312112,-99947.76147312112,91797.06064845734,3165.415884429563,1605.086
Lower middle income,2020-06-08,2994738553,73330.66586678078,93575.56833779266,93575.56833779266,73330.66586678078,-181467.3632268263,-282901.1131427961,-282901.1131427961,110295.46290899799,2205.909258179961,16869.132
Unknown income group,2020-06-08,258910,-56.38576275519422,22.885875686878197,22.885875686878197,-19.784943978455313,-56.59050948213144,-75.18671461468733,-75.18671461468733,0,0,1.001
Upper middle income,2020-06-08,2928412447,141718.64515203758,241972.62836278003,241972.62836278003,159715.70575739583,90544.10655590142,7921.415449095331,7921.415449095331,7080577.186748137,131121.79975459512,112041.209
High income,2020-06-15,1241193758,367577.03198095766,373744.0545332221,373744.0545332221,367912.2661731276,360816.7464617941,357684.6264595823,357684.6264595823,27466363.58163546,356706.02054072026,305847.262
Low income,2020-06-15,704080579,44477.596837653175,75002.84404539323,75002.84404539323,44477.596837653175,-43759.398067083996,-95978.72528105175,-95978.72528105175,97658.66233045285,3367.540080360443,2027.102
Lower middle income,2020-06-15,2994738553,130529.53004259401,144951.5711312702,144951.5711312702,130529.53004259401,-131671.64420978745,-257419.008640102,-257419.008640102,712310.7683944603,14246.215367889208,21450.128
Unknown income group,2020-06-15,258910,-58.48312493728326,24.058564609324357,24.058564609324357,-19.638366245623647,-58.48312493728326,-78.47600928440028,-78.47600928440028,0,0,1.001
Upper middle income,2020-06-15,2928412447,195913.17707972322,310282.1388034693,310282.1388034693,214046.09024910975,128383.07929513787,51094.98049433259,51094.98049433259,8812069.043359226,163186.4637659116,130797.205
High income,2020-06-22,1241193758,379881.155531315,386988.421313924,386988.421313924,380116.4872201872,371346.3234209467,368184.11540084274,368184.11540084274,28218739.162054654,366477.13197473576,314577.249
Low income,2020-06-22,704080579,54534.39166685998,84225.14851896414,84225.14851896414,54534.39166685998,-38904.82612226654,-91799.3898049478,-91799.3898049478,104448.27128669588,3601.6645271274438,2388.113
Lower middle income,2020-06-22,2994738553,199104.7357196241,202249.95427847005,202249.95427847005,199104.7357196241,-74284.90674997277,-209600.21985774272,-209600.21985774272,1320186.0738799225,26403.72147759845,28241.136
Unknown income group,2020-06-22,258910,-60.145977443870564,25.002037889560693,25.002037889560693,-19.21326313827725,-60.145977443870564,-81.38338667655293,-81.38338667655293,0,0,1.001
Upper middle income,2020-06-22,2928412447,254823.08732840934,381604.7050146177,381604.7050146177,275809.20293280773,179964.6249216778,100863.94273416595,100863.94273416595,10651862.219970318,197256.7077772281,152073.215
High income,2020-06-29,1241193758,390681.1924376446,399212.37970806804,399212.37970806804,390681.1924376446,380472.4963028028,377371.12073252106,377371.12073252106,28848356.4658072,374653.98007541813,321509.265
Low income,2020-06-29,704080579,65905.0338440043,91692.55933309531,91692.55933309531,65905.0338440043,-33278.21608691276,-87702.58536478247,-87702.58536478247,111237.88024293889,3835.788973894444,2726.108
Lower middle income,2020-06-29,2994738553,269931.95351376454,292097.98005311843,292097.98005311843,269931.95351376454,-16453.793626401668,-162432.65215123698,-162432.65215123698,1921171.3793653848,38423.4275873077,33564.125
Unknown income group,2020-06-29,258910,-61.93436677499679,25.93649607950072,25.93649607950072,-18.638467791357954,-61.93436677499679,-83.5008913854845,-83.5008913854845,0,0,1.001
Upper middle income,2020-06-29,2928412447,327603.5062770427,460493.63123750367,460493.63123750367,334514.58468498033,241911.86650424235,168030.1332582431,168030.1332582431,12588073.116581406,233112.4651218779,173001.22699999998
High income,2020-07-06,1241193758,402485.16324096906,412605.94427711883,412605.94427711883,402485.16324096906,390781.4123906002,387467.5008854745,387467.5008854745,29556063.783215657,383844.9841976059,327844.279
Low income,2020-07-06,704080579,77332.33112821956,99885.73084038305,99885.73084038305,77332.33112821956,-26497.092762902048,-84605.24742530067,-84605.24742530067,118027.4891991819,4069.913420661445,3048.122
Lower middle income,2020-07-06,2994738553,323089.6582691949,345663.9384332736,345663.9384332736,323089.6582691949,52155.43319879077,-117237.96262129954,-117237.96262129954,2575003.093452997,51500.061869059944,39429.123999999996
Unknown income group,2020-07-06,258910,-63.675180047592605,27.158522326566327,27.158522326566327,-18.085930643424344,-63.675180047592605,-86.19332486758812,-86.19332486758812,0,0,1.001
Upper middle income,2020-07-06,2928412447,408635.8711371867,544763.4114974416,544763.4114974416,408635.8711371867,304502.93276986276,224966.10753164362,224966.10753164362,15054204.251257012,278781.56020846317,194557.223
High income,2020-07-13,1241193758,415500.5632138368,427162.1076677027,427162.1076677027,415500.5632138368,402189.7901281603,398903.67092171276,398903.67092171276,30366075.8672908,394364.62165312725,335494.299
Low income,2020-07-13,704080579,90375.31236641666,108844.81489487126,108844.81489487126,90375.31236641666,-15948.913931885558,-79481.94092930507,-79481.94092930507,124817.09815542492,4304.037867428446,3412.129
