World_Bank_income_group,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
High income,2020-01-13,1241318333,7.254935257077396,7.304047221812809,7.254935257077396,7.254935257077396,-2.49473918244197,-4.99225292840298,-6.45230943031178,0,0,0
Low income,2020-01-13,704080579,184.62772504219265,245.53777649254087,196.29477243112993,184.62772504219265,-13.19808930567147,-88.85726012678865,-119.24634520299578,0,0,0
Lower middle income,2020-01-13,2994738553,724.0282339472211,820.0694807119468,746.3045873569366,724.0282339472211,-10.553384093257947,-414.84334614310063,-453.0048297126932,0,0,0
Unknown income group,2020-01-13,253139,0.1084329233272603,0.7028377874041705,0.2822002021120696,0.1084329233272603,-0.03627368741381961,-0.1564269444559408,-0.17152038941765052,0,0,0
Upper middle income,2020-01-13,2928412447,-1180.2541822676933,-1079.51692371139,-1119.385582541742,-1177.3183279849407,-1257.6940416423936,-1297.2654219291278,-1306.5906539183625,-67872.28158263721,-1256.8941033821704,0
High income,2020-01-20,1241318333,1.5948230672930492,8.45786240342845,7.083887372942201,1.835860100519986,-2.5887108633533416,-7.487400604171063,-8.13599198509349,0,0,0
Low income,2020-01-20,704080579,218.69908936980605,296.5144239899381,238.85688135090683,218.69908936980605,-33.933469580613156,-127.1441171012873,-151.39872612082698,0,0,0
Lower middle income,2020-01-20,2994738553,674.0149837581557,883.7943662899964,863.4324571408597,674.0149837581557,-58.36470138817678,-542.7533911299271,-625.1410180676329,0,0,0
Unknown income group,2020-01-20,253139,-0.20991255927669003,0.2520250092006502,0.10966127680437031,-0.01829460760940042,-0.20991255927669003,-0.2527540556067304,-0.27211609149089966,0,0,0
Upper middle income,2020-01-20,2928412447,-1489.881648049746,-1317.9475413693765,-1363.7927539195482,-1460.4981171553363,-1561.6242890059361,-1607.6295851989678,-1624.728080655915,-83851.74631863512,-1552.8101170117616,0
High income,2020-01-27,1241318333,-959.73003533778,-952.73284696711,-954.6130872052416,-959.73003533778,-966.55817717837715,-971.1145404029278,-973.958206926201,-73936.50150784437,-960.2143052966801,0
Low income,2020-01-27,704080579,208.7124415062128,319.0167349534127,291.75388951750995,208.7124415062128,-20.53699419041239,-153.39999688696057,-180.1283684860504,36.03616214099568,1.242626280723989,0
Lower middle income,2020-01-27,2994738553,515.6016762537745,1382.3637802916303,1286.0551072140408,563.0693488880734,-225.3544472885679,-1165.0235627919776,-1430.686519242944,-6636.111036690297,-132.72222073380593,0
Unknown income group,2020-01-27,253139,-0.2512741644515501,0.30618930264029026,0.053425535097698505,-0.15315161862910073,-0.42970058085273133,-0.5609942074784986,-0.6050968784220313,0,0,0
Upper middle income,2020-01-27,2928412447,-888.8463704428113,-373.83399527842033,-425.15000187989165,-626.80186747355,-988.7519463305996,-1066.093914695044,-1077.923613018004,-50978.80972275543,-944.0520319028784,0
High income,2020-02-03,1241318333,-1184.7050430618747,-1173.825017988234,-1176.4255549643628,-1181.8169541373702,-1188.0275956933615,-1195.15304887767,-1197.293833771121,-91177.9069119991,-1184.1286611947935,0
Low income,2020-02-03,704080579,212.8332464896134,323.2287317567803,311.5751054079301,212.8332464896134,-28.135354553096455,-153.74247462767485,-176.79891420213966,36.03616214099568,1.242626280723989,0
Lower middle income,2020-02-03,2994738553,537.6927865761368,1104.605482781055,970.5294692561124,537.6927865761368,-415.33397590057234,-1102.5463402518183,-1167.6271461136835,-7157.11685002814,-143.1423370005628,0
Unknown income group,2020-02-03,253139,-0.2850262369221795,0.3884732315391498,0.2286142450711388,-0.18149973228596944,-0.4504205412885,-0.5796582904313189,-0.65066918615839,0,0,0
Upper middle income,2020-02-03,2928412447,1084.9125004509715,1695.9119490416797,1633.1744737147606,1372.1833878772065,945.8509957936424,853.7475859417927,785.702816394548,54872.44720878646,1016.1564297923419,49
High income,2020-02-10,1241318333,-1083.9482902256434,-1064.2353119275629,-1069.4439180153672,-1082.3752751382976,-1091.431749679405,-1097.2959008010794,-1098.8921522836597,-83506.14024533241,-1084.4953278614598,0.143
Low income,2020-02-10,704080579,197.86604567870887,302.1676519140871,272.41795266111245,197.86604567870887,-71.51898606291067,-211.27787800296144,-329.9907151630664,36.03616214099568,1.242626280723989,0
Lower middle income,2020-02-10,2994738553,622.4178791913165,1214.71722435167,1166.397804095728,622.4178791913165,-542.5561780222215,-1411.1662861738087,-1426.6254295027609,-7348.783516694806,-146.97567033389612,0
Unknown income group,2020-02-10,253139,-0.2940929211280993,0.42037972442360033,0.1664952471247685,-0.23130489606274038,-0.477240499501521,-0.5591339462445293,-0.6303274777289981,0,0,0
Upper middle income,2020-02-10,2928412447,-550.5105842070163,44.52139283218977,-24.801352030804125,-283.26404308833327,-740.3407333132017,-825.8838886622447,-850.6588321226119,-34713.37170046929,-642.8402166753572,83.714
High income,2020-02-17,1241318333,-1399.969104819918,-1379.8318218057966,-1384.3752983855613,-1398.6459886086664,-1406.1876514592414,-1415.5808762169918,-1416.1818123726136,-107888.19024533175,-1401.1453278614513,0.42899999999999994
Low income,2020-02-17,704080579,233.33713744725367,333.30116040041565,327.16314054460116,233.33713744725367,-63.223672886797225,-206.3265069589381,-240.98899488959637,36.03616214099568,1.242626280723989,0
Lower middle income,2020-02-17,2994738553,851.9500533659835,1728.5641506927172,1504.9011776612456,851.9500533659835,-566.075090008699,-1530.6835227040317,-1764.2179632789534,-7814.259707170997,-156.28519414341994,0
Unknown income group,2020-02-17,253139,-0.04337520895550981,0.4419671062824501,0.23630314633705873,-0.04337520895550981,-0.46394659375260033,-0.6274462496967899,-0.6447919623067786,0,0,0
Upper middle income,2020-02-17,2928412447,-1303.795384817169,-755.1826613058835,-824.544226352367,-1085.430983267153,-1532.5091016830886,-1644.4077870232384,-1697.9638009793468,-76827.26780734834,-1422.7271816175619,121.714
High income,2020-02-24,1241318333,-1182.6984178061339,-1155.9184942529876,-1164.8334140179707,-1181.965121243247,-1189.560077751362,-1197.8506271231026,-1204.4439150971784,-91212.94035740898,-1184.5836410053114,2.429
Low income,2020-02-24,704080579,-285.60720281580825,148.05946647026002,144.92717562497282,-63.828226244521986,-399.5971834160052,-760.6955375269926,-836.6833788823625,36.03616214099568,1.242626280723989,0
Lower middle income,2020-02-24,2994738553,15.910593866994644,1027.7642852374058,948.6613842095403,15.910593866994644,-1159.2500272255234,-2501.0532706740732,-2762.9073422877473,-8589.115437598863,-171.78230875197724,0
Unknown income group,2020-02-24,253139,-0.29239265643002965,0.41821275700476024,0.3431714445093788,-0.04439912289262075,-0.3880991779296214,-0.5750292201190192,-0.5948792176603902,0,0,0
Upper middle income,2020-02-24,2928412447,-1324.1892175763348,-904.6154881303705,-949.6920833201565,-1148.6624594539483,-1544.3638265354905,-1639.5763556196903,-1670.5144601801862,-75542.02147958851,-1398.9263236960835,106
High income,2020-03-02,1241318333,-735.0391742744999,-716.1023838632149,-719.9224194897449,-735.0391742744999,-748.9796135936908,-764.7811296506493,-765.822988313673,-57107.49168987231,-741.6557362321079,11.143
Low income,2020-03-02,704080579,-24.767691740785924,1101.1394452390687,996.9112908271303,433.61986521358523,-293.00992314004617,-830.2100073669887,-1074.01963205797,36.03616214099568,1.242626280723989,0
Lower middle income,2020-03-02,2994738553,-1320.0063307965308,-66.48823129568746,-251.41671615449448,-924.4973316162416,-2504.3392756317935,-4831.722004700056,-5791.515020171529,-11733.1489122317,-234.662978244634,0
Unknown income group,2020-03-02,253139,-0.3771556821356091,0.4345210453304298,0.3129483159805889,-0.28968469364132865,-0.5451315702287701,-0.7494359385496187,-0.7906541915937602,0,0,0
Upper middle income,2020-03-02,2928412447,-2241.802865071561,-2062.007869030309,-2097.26402106174,-2183.584806647244,-2530.557773528854,-2857.972086889982,-2957.3894124665585,-106597.90274503418,-1974.0352360191514,53.428
High income,2020-03-09,1241318333,576.1000658040809,596.8961568237962,593.1507854591055,578.0328975726139,562.7585372971129,552.6062295047271,550.2255489759697,43816.77497679229,569.0490256726271,74.28699999999999
Low income,2020-03-09,704080579,32.35876200033981,646.9254671816252,603.8360765869671,256.37614031477693,-450.12017028092345,-990.3975172284315,-1336.280322804051,36.03616214099568,1.242626280723989,0
Lower middle income,2020-03-09,2994738553,-853.7828356796418,628.2453873987864,47.39801489604271,-805.8904655538228,-2255.1802479341854,-5291.037255385074,-5699.585703722198,-11648.863197945986,-232.9772639589197,0.143
Unknown income group,2020-03-09,253139,-0.4039819514340193,0.6088504692316099,0.4866481263987707,-0.23311669120408055,-0.5490373518197494,-0.737435332640449,-0.8103336165351902,0,0,0
Upper middle income,2020-03-09,2928412447,-404.4396634883894,-195.54667438111937,-243.03046053850454,-343.19694189532436,-738.2515169874229,-1015.9615844163559,-1075.896549388405,-8439.746828395253,-156.29160793324542,55.142999999999994
High income,2020-03-16,1241318333,2600.5998519233417,2636.6310707659463,2628.287579437418,2602.771921620861,2585.782855761423,2575.0579767568584,2570.856982164238,199872.85831013377,2595.7514066251138,346.43
Low income,2020-03-16,704080579,122.42196210902934,666.6510612176731,619.68733918476,245.28901079960687,-449.3950970137664,-1187.299736426493,-1249.1067959541529,36.03616214099568,1.242626280723989,0
Lower middle income,2020-03-16,2994738553,-429.090606721046,439.8747931400534,414.2374824450109,-429.090606721046,-2372.594125451357,-5158.738266619883,-5852.090622094599,-11481.720340803122,-229.63440681606244,2.8569999999999998
Unknown income group,2020-03-16,253139,-0.42201494538618933,0.7505838788874195,0.5054033037778184,-0.22567270524310054,-0.5126065684660799,-0.7943442979417712,-0.8050366570762391,0,0,0
Upper middle income,2020-03-16,2928412447,-696.9786940695232,-557.7287682994593,-562.8193608270201,-696.9786940695232,-1039.985725551556,-1374.933176335293,-1426.0371477277426,-30355.194032384486,-562.133222821935,104.42999999999999
High income,2020-03-23,1241318333,5325.847558693649,5359.267004127399,5357.425212048847,5331.746316979031,5311.832836054906,5297.343252217564,5294.70150720486,409886.3983101308,5323.199978053647,1196.715
Low income,2020-03-23,704080579,-62.67150920113696,612.2654209004655,515.5196883616666,-23.00867472229048,-551.7070923031201,-1279.5443515709364,-1480.707188033988,472.0354051202392,16.277082935180662,0.9999999999999999
Lower middle income,2020-03-23,2994738553,-1268.8602801308025,-937.2659357706865,-1043.5420670835772,-1268.8602801308025,-3154.5834688198606,-5780.897524955309,-5991.078775322985,-11333.148912231702,-226.66297824463405,11.574
Unknown income group,2020-03-23,253139,-0.46311815634344905,0.9215918114115588,0.6989734794739604,-0.17604940906411037,-0.5361682258328312,-0.7813489204556914,-0.8357328646211397,0,0,0
Upper middle income,2020-03-23,2928412447,1073.34658864211,1325.0245420054548,1278.9947595074584,1115.0350844896882,705.7572224118366,375.2396435381061,340.857356703285,72877.98099719641,1349.5922406888226,177.433
High income,2020-03-30,1241318333,8439.687732546374,8484.660741214982,8473.721163008735,8445.356853907533,8428.52960530532,8411.43157497198,8409.700897330144,649677.1583101277,8437.365692339321,3024.1440000000002
Low income,2020-03-30,704080579,-15.064065407766384,591.5251526864654,477.34612650208896,-15.064065407766384,-656.1926984800549,-1373.341851929291,-1389.994977040782,472.0354051202392,16.277082935180662,3.859
Lower middle income,2020-03-30,2994738553,-1631.1296808560826,-1405.9464249575608,-1628.6255190905167,-1631.1296808560826,-3741.6619375117048,-6439.5349132687215,-7040.668477338188,-11178.863197945988,-223.57726395891976,29.431
Unknown income group,2020-03-30,253139,-0.38348165948928964,0.8880694154195394,0.6463848452993199,-0.07871864583763948,-0.4887267076064611,-0.6897730436021704,-0.772782872302909,0,0,0
Upper middle income,2020-03-30,2928412447,574.0090111424759,779.2217351311889,677.5923724238323,574.0090111424759,-546.228262212555,-1070.7580208612897,-1227.1385720735886,41703.12782294449,772.2801448693424,235.573
High income,2020-04-06,1241318333,9289.995647256572,9343.216994683857,9334.447772948297,9309.333238706597,9280.741042789756,9260.201105229758,9251.345733264418,715107.549923033,9287.111037961467,5220.2880000000005
Low income,2020-04-06,704080579,-24.016856368907813,426.30167379788696,394.8871832956339,-24.016856368907813,-701.8856912034889,-1471.9287355971442,-1520.3389683310775,472.0354051202392,16.277082935180662,5.145
Lower middle income,2020-04-06,2994738553,-1558.7270915734828,-1332.8148777411902,-1558.7270915734828,-1558.7270915734828,-3768.4881550332675,-5447.02056818472,-6205.192147770146,-22239.15352052658,-444.7830704105316,81.28699999999999
Unknown income group,2020-04-06,253139,-0.38249894572885956,0.8973619800661499,0.7451290376629596,0.0953041497510903,-0.38249894572885956,-0.5597209751648914,-0.5819507127908798,0,0,0
Upper middle income,2020-04-06,2928412447,972.9890862474249,1216.4752259055203,1083.0326354867616,972.9890862474249,-51.0560846758511,-567.5040098087175,-798.1111245762302,58499.236394373205,1083.3191924883927,403.431
High income,2020-04-13,1241318333,8244.206822121972,8307.022803793092,8298.10590011152,8264.748423404832,8230.40189091984,8209.933633201395,8194.66369924014,633462.2499230308,8226.782466532868,6267.147
Low income,2020-04-13,704080579,10.823801565532113,605.3824273465244,380.31563440739257,10.823801565532113,-737.6885723974785,-1519.8238066261254,-1545.9132867579533,472.0354051202392,16.277082935180662,6.002
Lower middle income,2020-04-13,2994738553,-1794.1970536282138,-1359.7423467830024,-1547.5887396633602,-1794.1970536282138,-3880.3420835895254,-5047.5597842693815,-6359.504925258123,-22704.867806240873,-454.09735612481745,120.289
Unknown income group,2020-04-13,253139,-0.3791154358962796,0.8549293043502898,0.7104569829692007,0.10153947566002926,-0.3791154358962796,-0.575012728533061,-0.61038543809875,0,0,0
Upper middle income,2020-04-13,2928412447,759.1855606378443,1200.5698801504916,1177.2725752664169,759.1855606378443,-137.09992818506996,-525.6961766176081,-762.139921496763,54617.81925151599,1011.4410972502961,558.576
High income,2020-04-20,1241318333,6416.563467713516,6565.445796684959,6536.034722543938,6468.67820127709,6416.563467713516,6398.435915402029,6390.154910189974,494996.8165896988,6428.5300855805035,5971.2880000000005
Low income,2020-04-20,704080579,31.986965702262655,696.5684556145553,626.8093723483971,31.986965702262655,-699.8268740441794,-1502.6225447863399,-1708.3565771267197,472.0354051202392,16.277082935180662,9.857
Lower middle income,2020-04-20,2994738553,-1621.7061854699527,-1621.7061854699527,-1621.7061854699527,-1621.7061854699527,-4187.266063654178,-6704.233815196678,-7394.452522940256,-22890.58209195515,-457.81164183910306,126.003
Unknown income group,2020-04-20,253139,-0.3772452940861196,0.8739645730087496,0.6804415176051503,0.09892697689302037,-0.3772452940861196,-0.576452621771841,-0.5991885492030701,0,0,0
Upper middle income,2020-04-20,2928412447,794.3438089480411,1383.8567381871935,1283.0635319064572,839.0858433313705,18.80051069351903,-558.2322895740351,-681.128081515726,57624.487822944524,1067.120144869343,916.146
High income,2020-04-27,1241318333,4496.546903217195,4578.008500317961,4565.693876216323,4527.714021554113,4486.169313124372,4445.539393519694,4436.805974698466,343766.50658969965,4464.500085580515,5053.717
Low income,2020-04-27,704080579,112.44738637116264,706.6750888975757,632.3663408669807,112.44738637116264,-606.271932187458,-1486.944695492473,-1609.2083260842908,472.0354051202392,16.277082935180662,12.144
Lower middle income,2020-04-27,2994738553,-1637.06020708323,-951.8952642177865,-1401.7580957697792,-1637.06020708323,-3829.514127599058,-6411.437829301099,-6778.970105283893,-22580.58209195515,-451.611641839103,133.571
Unknown income group,2020-04-27,253139,-0.4591271556038897,0.8659912030991994,0.6374989773741209,-0.12292216275380972,-0.5080451833069412,-0.8395925081717622,-0.8565280276912207,0,0,0
Upper middle income,2020-04-27,2928412447,988.4153812222464,1807.7404461916215,1733.3171944961355,988.4153812222464,243.33625285242317,-271.70174256311054,-362.43697649265937,68843.06496580192,1274.8715734407763,1000.4300000000001
High income,2020-05-04,1241318333,3145.204047908532,3406.1575377520803,3376.1594699188113,3196.160214492634,3132.1577576222007,3093.4492567726634,3087.9349646595742,236562.81185851886,3072.2443098508943,4103.003
Low income,2020-05-04,704080579,135.40669266500535,740.9110369928368,713.5110335918547,135.40669266500535,-548.0454394722623,-1583.4042335699,-1711.160145796499,472.0354051202392,16.277082935180662,14.858
Lower middle income,2020-05-04,2994738553,866.6724222857525,1618.7589878166839,1524.5775071034413,866.6724222857525,-922.4480610777154,-2880.112739747746,-3127.581135556219,6914.454774404283,138.28909548808565,199.43
Unknown income group,2020-05-04,253139,-0.5366839530862,0.7424596412307289,0.5632687060198593,-0.3343129112916405,-0.8066496450632208,-1.2785886218690226,-1.31659868303811,0,0,0
Upper middle income,2020-05-04,2928412447,3756.755592691601,4883.0968072941705,4712.599003975292,3756.755592691601,2639.3456392607322,2009.8113144004672,1891.621281289084,179215.3123390736,3318.802080353215,1332.003
High income,2020-05-11,1241318333,2892.1928412292423,3162.92179174943,3137.9924372899336,2892.1928412292423,2778.336534657302,2732.860038624304,2724.153169306085,208605.02852518205,2709.156214612754,3400.002
Low income,2020-05-11,704080579,212.06757250782005,825.3535351134235,722.6235183131029,212.06757250782005,-476.11737955375224,-1411.2265418332074,-1512.1186016495362,472.0354051202392,16.277082935180662,28.002
Lower middle income,2020-05-11,2994738553,1119.796214919501,2346.0875385004783,1969.2928653101203,1155.449161395477,-399.1007788207301,-2360.2482834485336,-3155.071428876296,7187.311917261432,143.74623834522865,235.571
Unknown income group,2020-05-11,253139,-0.5257172981951003,0.7559163505156488,0.6041639733478598,-0.35932331589772115,-0.8487642792156895,-1.2963926479872687,-1.3506180165279311,0,0,0
Upper middle income,2020-05-11,2928412447,4317.027163587515,5500.860868011412,5162.399766454284,4317.027163587515,3061.243655943887,2509.399212148405,2209.709290108432,194479.26091050217,3601.467794638929,1647.002
High income,2020-05-18,1241318333,2250.3559888712953,2598.7254964703593,2529.594834246602,2250.3559888712953,2105.5706215322302,2065.4517685169126,2055.117739725737,155084.34519185105,2014.0824050889746,2788.717
Low income,2020-05-18,704080579,261.9641775607518,962.211256005875,686.9802452872308,261.9641775607518,-446.1571398430548,-1397.145663317472,-1577.409021197915,472.0354051202392,16.277082935180662,31.285
Lower middle income,2020-05-18,2994738553,1917.598823433081,3214.3713730922077,2935.1753645806557,1917.598823433081,78.52651365434578,-2319.153162590415,-2944.5666305026707,7167.311917261418,143.34623834522836,260.859
Unknown income group,2020-05-18,253139,-0.4596679628133993,0.6407674406763201,0.5990947724229612,-0.3218274179983097,-0.8420484200776414,-1.1281246311881612,-1.2361803413542916,0,0,0
Upper middle income,2020-05-18,2928412447,4470.296575166278,5921.163146129861,5427.092641807744,4515.168621834201,3343.842493143839,2614.519531255204,2455.152886908245,205166.16948193058,3799.3735089246406,1898.575
High income,2020-05-25,1241318333,1646.3781716867122,2022.9662300012963,2018.308798443867,1698.9139226689065,1523.511856669839,1491.5348356557747,1483.5809527011672,110635.03185851822,1436.8185955651718,1806.433
Low income,2020-05-25,704080579,297.06388648362,971.2716476958525,694.7848257598971,297.06388648362,-399.3754021325319,-1381.9968171896962,-1531.6347662683406,472.0354051202392,16.277082935180662,32.716
Lower middle income,2020-05-25,2994738553,4082.396904394643,10245.62654944744,8482.257988726504,4082.396904394643,822.0028464173436,-2023.4684663961764,-2544.555962195468,6723.026202975681,134.46052405951363,292.43
Unknown income group,2020-05-25,253139,-0.48678528591937953,0.7697335154648396,0.6163804697450597,-0.27584099913301047,-0.8286977828720115,-1.1530968019220096,-1.2405062057936007,0,0,0
Upper middle income,2020-05-25,2928412447,4477.136457827906,5779.785008239669,5418.238790008316,4658.251600233598,3440.1311939120415,2751.775196157739,2460.4929628529635,205752.9180533591,3810.239223210354,2219.1420000000003
High income,2020-06-01,1241318333,1581.2895967961745,2153.8566906532214,2130.784310160988,1662.9415500807659,1464.6561782000497,1416.238844964892,1389.131078666682,104025.97992303171,1350.9867522471652,1706.717
Low income,2020-06-01,704080579,851.8020268599122,1359.3117173635528,1162.788765235585,851.8020268599122,-79.841046314508,-864.5431159980399,-988.3405354360958,472.0354051202392,16.277082935180662,42.286
Lower middle income,2020-06-01,2994738553,10449.008502001465,13241.140460653465,12597.40383462176,10449.008502001465,4208.13555938142,1882.9498022612859,1089.1237687825267,79605.32266994963,1592.1064533989925,408.287
Unknown income group,2020-06-01,253139,-0.3470205467301693,1.0231290140770497,0.6624846952842702,-0.10319440104510064,-0.5594308771871901,-0.8582386503608299,-1.00506114424791,0,0,0
Upper middle income,2020-06-01,2928412447,5589.638445213941,7528.557572587007,7243.215152919969,6136.773581102519,4841.40836301475,3988.9641357902024,3896.3359560965373,220586.33068008727,4084.9320496312457,2309.1459999999997
High income,2020-06-08,1241318333,1450.3833985980796,2193.962209246437,1972.405386828936,1556.5943302941196,1297.421493810078,1238.8171810871524,1217.4125245891507,87807.94658969772,1140.362942723347,1479.717
Low income,2020-06-08,704080579,921.5009311989169,1127.8663200285584,1124.5641864596857,921.5009311989169,-125.85850912176038,-864.2144575365252,-995.9141863371309,472.0354051202392,16.277082935180662,42.144
Lower middle income,2020-06-08,2994738553,9164.086189218242,17809.883397965736,15815.26825169559,10909.834920100924,4934.910200162833,2735.6588890361836,1314.383898714106,79752.46552709247,1595.0493105418495,508.14399999999995
Unknown income group,2020-06-08,253139,-0.31481485647122975,1.09328623942491,0.61437944784979,-0.09273081487750932,-0.48008564952045124,-0.8178589436260999,-0.9006880040330505,0,0,0
Upper middle income,2020-06-08,2928412447,5988.543555230097,8659.114243221149,7938.292197433152,6760.16534924128,5389.330827207094,4506.566932639469,4112.837207196538,237152.75925151582,4391.7177639169595,2698.001
High income,2020-06-15,1241318333,1090.8404165143638,1853.8103800229337,1714.8418883639984,1201.5841110320273,955.6747299288522,895.481223522839,867.9615583170803,59797.72992303422,776.5938951043405,1240.002
Low income,2020-06-15,704080579,1053.1632288010155,1367.3590175947095,1342.8062861054361,1053.1632288010155,201.2069195077829,-474.04668519645816,-734.6369388579645,472.0354051202392,16.277082935180662,60.288000000000004
Lower middle income,2020-06-15,2994738553,7825.372173157522,11698.819061191356,11508.875122411195,8481.290500862642,5000.181074508449,2902.5156081584337,1830.642691970725,79786.75124137818,1595.7350248275636,654.428
Unknown income group,2020-06-15,253139,-0.3051330894556296,1.0584198597774892,0.5800075784290301,-0.06496422720838983,-0.43817886415229956,-0.799639172032111,-0.8640418958213807,0,0,0
Upper middle income,2020-06-15,2928412447,6337.543755435428,8972.11627649385,8643.85015628913,7242.887190833871,5747.280545934648,4914.479532946119,4361.02832171456,246444.05068008724,4563.778716297912,2683.428
High income,2020-06-22,1241318333,1784.2153709118245,2498.7774359078057,2328.9784948969823,1855.6885210236326,1598.9346148584507,1511.5086851484366,1494.5118014211052,109206.90658969776,1418.2715141519188,1247.141
Low income,2020-06-22,704080579,1052.661619016304,1369.8451662444718,1328.9820933603698,1052.661619016304,234.48044633940714,-366.1075137376956,-666.0470011033028,599.5952235626669,20.675697364229894,51.573
Lower middle income,2020-06-22,2994738553,9705.211630759222,12490.030354160615,11840.730406175071,9705.211630759222,6442.0458934214175,4145.136529406525,3518.542414559887,80623.89409852104,1612.4778819704206,970.1439999999999
Unknown income group,2020-06-22,253139,-0.24683303682258986,1.0939733897964892,0.6206580265422285,-0.05540862482710934,-0.32165554135154956,-0.5262751924262298,-0.5378996579346499,0,0,0
Upper middle income,2020-06-22,2928412447,7015.868086091624,9608.921498544185,9133.115879591927,7698.39217755738,6154.905710812403,5278.225251337874,5054.517031705481,262077.66782294447,4853.290144869342,3047.5719999999997
High income,2020-06-29,1241318333,1538.5706269286059,2259.4175283553272,2122.9760566731716,1613.797898748201,1374.1651563443213,1291.357811290303,1284.783185814567,91464.7499230328,1187.853895104322,990.288
Low income,2020-06-29,704080579,803.1753185442682,1377.115862760422,1329.6417797909676,866.8275319788827,192.5616573730273,-559.3858192001558,-647.0725308581171,599.5952235626669,20.675697364229894,48.285000000000004
Lower middle income,2020-06-29,2994738553,10845.358988760221,12268.978421714239,11764.514690182305,10845.358988760221,6442.322219360768,3856.1963561345597,3240.577164058128,79639.60838423534,1592.7921676847068,760.427
Unknown income group,2020-06-29,253139,-0.19837633175063002,1.122014066911979,0.6595325396452397,-0.02171225731773961,-0.24511430846642074,-0.44133303646739125,-0.4915106771420402,0,0,0
Upper middle income,2020-06-29,2928412447,8007.484371059713,11121.692427970742,10847.431268914655,9111.175279461764,7116.9610555097615,5996.578260104465,5645.631580296008,276237.34210865863,5115.506335345531,2991.573
High income,2020-07-06,1241318333,1706.0731622356473,2403.703779108437,2283.5319907934245,1769.6130536778367,1518.931108637252,1453.757407812205,1424.5244132865953,102753.35325636608,1334.4591331995596,905.002
Low income,2020-07-06,704080579,968.0033452059655,1352.1645010959744,1329.5467678620648,968.0033452059655,207.22909008716758,-342.74142898099535,-764.9096468960338,599.5952235626669,20.675697364229894,46.002
Lower middle income,2020-07-06,2994738553,8726.43899325654,10476.9716637707,10116.301599390048,8726.43899325654,5251.514360530456,3742.9633662326664,3376.7877831676624,65727.77274675443,1314.5554549350886,837.857
Unknown income group,2020-07-06,253139,-0.19555587915374997,1.1369775561537285,0.6216560372856196,-2.6957046491013633e-4,-0.22212929852735944,-0.3728632483573193,-0.44680513306264974,0,0,0
Upper middle income,2020-07-06,2928412447,9754.402193898924,13555.028207402986,12240.995789904837,10290.219044017045,8406.089689826886,7443.056168402283,7248.901726173085,352060.5910487506,6519.640574976864,3078.713
High income,2020-07-13,1241318333,1871.3852670504252,2525.7590143710286,2398.692352941558,1927.0746772424181,1688.2092000068544,1614.224036839871,1607.8983938246074,117501.41992303543,1525.9924665329277,1092.8600000000001
