World_Bank_income_group,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
High income,2020-01-20,1241193758,-4.609707161108179e-4,1.8548894282928192e-4,-1.4537365967999354e-4,-4.609707161108179e-4,-8.075970902999783e-4,-8.075970902999783e-4,-8.075970902999783e-4,0,0,0
Low income,2020-01-20,704080579,0.01336100569448774,0.01336100569448774,0.01336100569448774,0.01336100569448774,0.005448765445773679,0.0012546923901557122,-0.010623745955380803,0,0,0
Lower middle income,2020-01-20,2994738553,0.026596686744334873,0.026596686744334873,0.026596686744334873,0.026596686744334873,0.0036923417940898573,-2.972322085386866e-4,-0.007894863834899594,0,0,0
Unknown income group,2020-01-20,258910,-0.07452442389389112,-0.0076053594898499235,-0.0076053594898499235,-0.0076053594898499235,-0.07452442389389112,-0.07452442389389112,-0.07452442389389112,0,0,0
Upper middle income,2020-01-20,2928412447,-0.04872685859093147,-0.04872685859093147,-0.04872685859093147,-0.04872685859093147,-0.05498959553807223,-0.05498959553807223,-0.05498959553807223,-2.8633858049789636,-0.053025663055166004,0
High income,2020-01-27,1241193758,-0.08389268977915947,-0.08322909674265665,-0.08344571939851617,-0.08389268977915947,-0.08456590363020475,-0.08456590363020475,-0.08456590363020475,-6.4216762961839615,-0.08339839345693456,0
Low income,2020-01-27,704080579,0.015183857559932422,0.015183857559932422,0.015183857559932422,0.015183857559932422,0.01174480789464041,0.003017992082927041,-0.011585667029052105,0.05442214059146136,0.0018766255376365985,0
Lower middle income,2020-01-27,2994738553,0.022680731870568318,0.030228342259212466,0.030228342259212466,0.030228342259212466,0.022680731870568318,-0.008772909640482437,-0.023644422373963022,-0.23156538483006198,-0.00463130769660124,0
Unknown income group,2020-01-27,258910,-0.10174759583616268,-0.058066905715885984,-0.058066905715885984,-0.058066905715885984,-0.10174759583616268,-0.14877398308455034,-0.19908035707911642,0,0,0
Upper middle income,2020-01-27,2928412447,-0.027490067161428444,-0.027490067161428444,-0.027490067161428444,-0.027490067161428444,-0.034371108944896846,-0.034371108944896846,-0.034371108944896846,-1.7212265983059476,-0.03187456663529533,0
High income,2020-02-03,1241193758,-0.0995192901710408,-0.09889897380487793,-0.09900078316488736,-0.0995192901710408,-0.09988836447674977,-0.09988836447674977,-0.09988836447674977,-7.623222159449378,-0.09900288518765427,0
Low income,2020-02-03,704080579,0.014828388676962513,0.014828388676962513,0.014828388676962513,0.014828388676962513,0.011479642333284362,0.004687659167931184,-0.014744225501726537,0.05442214059146136,0.0018766255376365985,0
Lower middle income,2020-02-03,2994738553,0.020344343733480007,0.020344343733480007,0.020344343733480007,0.020344343733480007,0.010548018968985605,-1.3931821110045145e-4,-0.03907664051388659,-0.25577871721131706,-0.005115574344226341,0
Unknown income group,2020-02-03,258910,-0.08831199648695476,-0.049969027697729,-0.05613054360499802,-0.05613054360499802,-0.08831199648695476,-0.1456885870439955,-0.19613380512403925,0,0,0
Upper middle income,2020-02-03,2928412447,0.039167330919580017,0.039167330919580017,0.039167330919580017,0.039167330919580017,0.03135085921077904,0.03135085921077904,0.03135085921077904,1.879567352807691,0.034806802829772054,0.0016732615670377255
High income,2020-02-10,1241193758,-0.09589327905613916,-0.09505234932186311,-0.09523300804399733,-0.09589327905613916,-0.09608674838151791,-0.09608674838151791,-0.09608674838151791,-7.33828007764001,-0.09530233867064951,1.1521166544571035e-5
Low income,2020-02-10,704080579,0.007931220634465847,0.014433584036176408,0.014433584036176408,0.014433584036176408,0.007931220634465847,-0.01070390687642833,-0.024288957467660906,0.05442214059146136,0.0018766255376365985,0
Lower middle income,2020-02-10,2994738553,0.017949188665076735,0.017949188665076735,0.017949188665076735,0.017949188665076735,0.008488939313103443,-8.865683085691326e-4,-0.044377378346741894,-0.2621788307195451,-0.0052435766143909025,0
Unknown income group,2020-02-10,258910,-0.0965600007714028,-0.06929286410302023,-0.07931459712294245,-0.07931459712294245,-0.0965600007714028,-0.13836112572211917,-0.1793366649778186,0,0,0
Upper middle income,2020-02-10,2928412447,-0.017685614450248306,-0.017685614450248306,-0.017685614450248306,-0.017685614450248306,-0.025550688047864322,-0.025550688047864322,-0.025803773275038324,-1.178968110211739,-0.02183274278169887,0.00285868201679584
High income,2020-02-17,1241193758,-0.12082942005734815,-0.11994955097885555,-0.12013886943133387,-0.12082942005734815,-0.12105957268542493,-0.12105957268542493,-0.12105957268542493,-9.25906533078877,-0.12024760169855547,3.4563499633713106e-5
Low income,2020-02-17,704080579,0.008002826531757084,0.014501799205441195,0.014501799205441195,0.014501799205441195,0.008002826531757084,-0.007263405889186407,-0.022434308303772486,0.05442214059146136,0.0018766255376365985,0
Lower middle income,2020-02-17,2994738553,0.02618463008676877,0.02618463008676877,0.02618463008676877,0.02618463008676877,2.8976701806302717e-4,2.8976701806302717e-4,-0.04396826541823578,-0.27772196352524187,-0.005554439270504839,0
Unknown income group,2020-02-17,258910,-0.07788255334960961,-0.03858428270394718,-0.07401445508279338,-0.07401445508279338,-0.07788255334960961,-0.09350525797363192,-0.1861643648608357,0,0,0
Upper middle income,2020-02-17,2928412447,-0.04379656183369775,-0.04379656183369775,-0.04379656183369775,-0.04379656183369775,-0.05449552292376456,-0.05449552292376456,-0.05449552292376456,-2.6173011811375098,-0.04846854039143537,0.004156313436131219
High income,2020-02-24,1241193758,-0.10560270848529432,-0.10457750465780193,-0.10476561495225142,-0.10560270848529432,-0.10614558108022998,-0.10614558108022998,-0.10614558108022998,-8.086538407670842,-0.10501997932040055,1.9569869606128005e-4
Low income,2020-02-24,704080579,-0.02982996936654583,-0.006113366337028567,-0.006113366337028567,-0.006113366337028567,-0.02982996936654583,-0.052188564026471145,-0.06948478062867884,0.05442214059146136,0.0018766255376365985,0
Lower middle income,2020-02-24,2994738553,0.010183657364865747,0.010183657364865747,0.010183657364865747,0.010183657364865747,-0.0022643251420245204,-0.014320775602427747,-0.04039833617180288,-0.30359586592822957,-0.006071917318564592,0
Unknown income group,2020-02-24,258910,-0.09832587641250838,-0.010491265075732566,-0.0870734073189716,-0.09706237089553908,-0.09832587641250838,-0.09832587641250838,-0.1970293322213977,0,0,0
Upper middle income,2020-02-24,2928412447,-0.04338831473830665,-0.04338831473830665,-0.04338831473830665,-0.04338831473830665,-0.054589521052317215,-0.054589521052317215,-0.054589521052317215,-2.555965600618154,-0.047332696307743595,0.0036197086960407937
High income,2020-03-02,1241193758,-0.07187822865056805,-0.07024443702666508,-0.07133105471917225,-0.07187822865056805,-0.07220934241752314,-0.07220934241752314,-0.07220934241752314,-5.485190240957143,-0.07123623689554731,8.977647468961893e-4
Low income,2020-03-02,704080579,0.0069340042784379625,0.06754935263320251,0.028320911200110835,0.028320911200110835,0.0069340042784379625,-2.720025002772686e-4,-0.06060107294472408,0.05442214059146136,0.0018766255376365985,0
Lower middle income,2020-03-02,2994738553,-0.04228429598625215,-0.012567981328788289,-0.012567981328788289,-0.012567981328788289,-0.04228429598625215,-0.043148382860371204,-0.06821125391854006,-0.3822813362937497,-0.007645626725874995,0
Unknown income group,2020-03-02,258910,-0.15939804668049973,-0.06680427080631503,-0.09337358593089122,-0.09337358593089122,-0.15939804668049973,-0.15939804668049973,-0.28191283710308995,0,0,0
Upper middle income,2020-03-02,2928412447,-0.07702773630575507,-0.0722266599327726,-0.07499653642368166,-0.07499653642368166,-0.07702773630575507,-0.07702773630575507,-0.08041594167780697,-3.6341548454197796,-0.06729916380407,0.0018244697755855426
High income,2020-03-09,1241193758,0.036790802410192926,0.03812913029422107,0.03753533439836931,0.036790802410192926,0.03662481587502056,0.03662481587502056,0.03662481587502056,2.8840864598365585,0.0374556683095657,0.005996646335051903
Low income,2020-03-09,704080579,-0.008383148565010065,-0.0032934273414663606,-0.0032934273414663606,-0.0032934273414663606,-0.008383148565010065,-0.03954768299046814,-0.05832365889549884,0.05442214059146136,0.0018766255376365985,0
Lower middle income,2020-03-09,2994738553,-0.042972005257670635,-0.03288964701504983,-0.03288964701504983,-0.03288964701504983,-0.042972005257670635,-0.062415887219047776,-0.06931972305723463,-0.37946687644044197,-0.007589337528808839,4.775041208747547e-6
Unknown income group,2020-03-09,258910,-0.17863727730268258,-0.05051170762537574,-0.13045855332509762,-0.13045855332509762,-0.17863727730268258,-0.17863727730268258,-0.26083407645897033,0,0,0
Upper middle income,2020-03-09,2928412447,-0.014945078229234937,-0.009777337240675423,-0.012550821430859763,-0.012550821430859763,-0.014945078229234937,-0.014945078229234937,-0.02051352996751724,-0.2806503986151705,-0.005197229603984639,0.0018830339304318627
High income,2020-03-16,1241193758,0.20102973359299828,0.20177437444111762,0.2011187289972626,0.20102973359299828,0.20057407582755457,0.20057407582755457,0.20057407582755457,15.518543327609587,0.20153952373518944,0.02792255421574558
Low income,2020-03-16,704080579,0.007055214975201055,0.007055214975201055,0.007055214975201055,0.007055214975201055,-0.006577247690442088,-0.026536555713934342,-0.058968344452207264,0.05442214059146136,0.0018766255376365985,0
Lower middle income,2020-03-16,2994738553,-0.01239117540750093,-0.01239117540750093,-0.01239117540750093,-0.01239117540750093,-0.021400062007939046,-0.05186359437755678,-0.05752473865485136,-0.3738856594432043,-0.007477713188864086,9.540064848525694e-5
Unknown income group,2020-03-16,258910,-0.16563360440516844,-0.07545309134098732,-0.15463859620106615,-0.15463859620106615,-0.16563360440516844,-0.16563360440516844,-0.2411208372036695,0,0,0
Upper middle income,2020-03-16,2928412447,-0.028059454504639782,-0.023584092630519166,-0.024349058299794817,-0.024349058299794817,-0.028059454504639782,-0.028059454504639782,-0.0310107255172596,-1.0282330818288627,-0.01904135336720116,0.0035660960295050954
High income,2020-03-23,1241193758,0.41901961687877753,0.41925304087062754,0.41901961687877753,0.41901961687877753,0.41817721133332425,0.41817721133332425,0.41817721133332425,32.317662615478184,0.4197099040971193,0.09647397856153252
Low income,2020-03-23,704080579,0.009605440349601807,0.009605440349601807,0.009605440349601807,0.009605440349601807,-0.014926404525015279,-0.06334126895472174,-0.08678724545693937,0.11893122659991776,0.004101076779307509,1.4202919805291205e-4
Lower middle income,2020-03-23,2994738553,-0.05532363044943541,-0.04823807883405305,-0.04823807883405305,-0.04823807883405305,-0.05532363044943541,-0.07007083372113776,-0.10433000713032163,-0.3689245776678826,-0.0073784915533576505,3.864778108394693e-4
Unknown income group,2020-03-23,258910,-0.16819637491728834,-0.10390794158355798,-0.16819637491728834,-0.16819637491728834,-0.19322859699961767,-0.19322859699961767,-0.21978676084133877,0,0,0
Upper middle income,2020-03-23,2928412447,0.03412594439821087,0.040066579489943174,0.03838487026250785,0.03838487026250785,0.03412594439821087,0.03412594439821087,0.030335722224213824,2.4956763902377084,0.04621622944884646,0.006059016727024587
High income,2020-03-30,1241193758,0.6705251548786177,0.6706471440536321,0.6705251548786177,0.6705251548786177,0.6697365447300302,0.6697365447300302,0.6691764316822402,51.645607060393736,0.670722169615503,0.24377467099701608
Low income,2020-03-30,704080579,0.00259911580945402,0.00259911580945402,0.00259911580945402,0.00259911580945402,-0.02320711105578604,-0.06388617703200056,-0.11309237317214178,0.11893122659991776,0.004101076779307509,5.480906752861876e-4
Lower middle income,2020-03-30,2994738553,-0.08922065536911047,-0.06913991385733934,-0.06913991385733934,-0.06913991385733934,-0.08922065536911047,-0.0961982345858565,-0.12502310022567958,-0.3637726850550479,-0.00727545370110096,9.827569077947487e-4
Unknown income group,2020-03-30,258910,-0.1389180606053452,-0.100217823095095,-0.1389180606053452,-0.1389180606053452,-0.1668151270065815,-0.1668151270065815,-0.18958072033853443,0,0,0
Upper middle income,2020-03-30,2928412447,2.7551653026784917e-4,0.010240105380657857,0.010240105380657857,0.010240105380657857,2.7551653026784917e-4,2.7551653026784917e-4,-0.019236456473027744,1.4329554198315941,0.026536211478362853,0.008044392798607716
High income,2020-04-06,1241193758,0.7375154548495454,0.738270829144543,0.7375154548495454,0.7375154548495454,0.733422092049135,0.733422092049135,0.733422092049135,56.82480063089748,0.7379844237778894,0.4208162477723321
Low income,2020-04-06,704080579,0.007184145237698741,0.007184145237698741,0.007184145237698741,0.007184145237698741,-0.019344863665714786,-0.06381871620143259,-0.11917352392875516,0.11893122659991776,0.004101076779307509,7.307402239822325e-4
Lower middle income,2020-04-06,2994738553,-0.09064622163088903,-0.07618271663745388,-0.07618271663745388,-0.07618271663745388,-0.09064622163088903,-0.1193632466339237,-0.14740493189288534,-0.7316710471669757,-0.014633420943339515,0.0027143270960521804
Unknown income group,2020-04-06,258910,-0.1478083839043544,-0.07098703012625635,-0.1478083839043544,-0.1478083839043544,-0.1589032748540845,-0.1589032748540845,-0.1916305494864355,0,0,0
Upper middle income,2020-04-06,2928412447,0.016691398065965906,0.023236382553468073,0.019611548170736112,0.019611548170736112,0.016691398065965906,0.015781729467753986,1.0705169855951163e-4,1.9934574273206846,0.03691587828371638,0.013776440556155033
High income,2020-04-13,1241193758,0.6515854508997969,0.6531205320457477,0.6515854508997969,0.6515854508997969,0.6466536450321743,0.6466536450321743,0.6466536450321743,50.02210125734801,0.6496376786668572,0.5054930351978132
Low income,2020-04-13,704080579,0.02435083100663295,0.02435083100663295,0.02435083100663295,0.02435083100663295,-0.01852409131107794,-0.07058794669128735,-0.1068919052522567,0.11893122659991776,0.004101076779307509,8.524592467135782e-4
Lower middle income,2020-04-13,2994738553,-0.08965162333150094,-0.08965162333150094,-0.08965162333150094,-0.08965162333150094,-0.09112150075917348,-0.1249470413026206,-0.15093799099586966,-0.7472221304242357,-0.014944442608484714,0.004016677845867368
Unknown income group,2020-04-13,258910,-0.14743024673648292,-0.07575425462396985,-0.14743024673648292,-0.14743024673648292,-0.17430295629549275,-0.17430295629549275,-0.1934637423516744,0,0,0
Upper middle income,2020-04-13,2928412447,0.01746476940633498,0.019795205625741216,0.01746476940633498,0.01746476940633498,0.013026172448563184,0.013026172448563184,-0.005180579073031438,1.8609140368965167,0.03446137105363919,0.019074362307544175
High income,2020-04-20,1241193758,0.5103653972317019,0.5118968798893775,0.5103653972317019,0.5103653972317019,0.5062826163467801,0.5062826163467801,0.5062826163467801,39.1539544325233,0.5084929147080948,0.48091967603981456
Low income,2020-04-20,704080579,0.015325819738871576,0.015325819738871576,0.015325819738871576,0.015325819738871576,-0.03440617761033216,-0.07181408404117717,-0.10722627943613651,0.11893122659991776,0.004101076779307509,0.001399981805207554
Lower middle income,2020-04-20,2994738553,-0.06627135699261495,-0.06627135699261495,-0.06627135699261495,-0.06627135699261495,-0.09634642914680448,-0.11596946114521457,-0.14616225717556028,-0.7534234826433882,-0.015068469652867763,0.004207479142837882
Unknown income group,2020-04-20,258910,-0.1286472073054766,-0.06233205542322835,-0.1286472073054766,-0.1286472073054766,-0.14531666603233562,-0.14531666603233562,-0.16672741249130987,0,0,0
Upper middle income,2020-04-20,2928412447,0.017427508352904037,0.02183235273930779,0.017427508352904037,0.017427508352904037,0.00947859387742721,0.00947859387742721,0.0030535189962088384,1.9667474895296984,0.036421249806105525,0.03128473248153763
High income,2020-04-27,1241193758,0.35156887652724506,0.3548659537479966,0.35156887652724506,0.35156887652724506,0.35124120616989424,0.35124120616989424,0.34948028447124474,26.875377536876414,0.3490308771022911,0.4054739211796777
Low income,2020-04-27,704080579,0.0372363393172511,0.0372363393172511,0.0372363393172511,0.0372363393172511,-0.03271641552189446,-0.06076750568395796,-0.09926507458982617,0.11893122659991776,0.004101076779307509,0.001724802581154564
Lower middle income,2020-04-27,2994738553,-0.05556208205647258,-0.05285322948122809,-0.05556208205647258,-0.05556208205647258,-0.07251184069402171,-0.07763037279171471,-0.0989432571086206,-0.743071994708341,-0.014861439894166821,0.004460189016039291
Unknown income group,2020-04-27,258910,-0.10852716346722796,-0.10852716346722796,-0.10852716346722796,-0.10852716346722796,-0.1339724317500445,-0.1360567477772776,-0.16033709694157028,0,0,0.05523154764203777
Upper middle income,2020-04-27,2928412447,0.0259514569733232,0.034802695839999384,0.026383381106129457,0.026383381106129457,0.0259514569733232,0.0259514569733232,0.022478327162493036,2.3477342207045613,0.04347655964267706,0.0341628789696235
High income,2020-05-04,1241193758,0.24456083086773756,0.24805785638285247,0.24456083086773756,0.24456083086773756,0.2405971624207194,0.2405971624207194,0.238930776993065,18.12381928651797,0.23537427644828537,0.33005120865263005
Low income,2020-05-04,704080579,0.053448371363619844,0.053448371363619844,0.053448371363619844,0.053448371363619844,-0.01423120834045831,-0.03960204486210132,-0.06024546219066496,0.11893122659991776,0.004101076779307509,0.0021102698246701673
Lower middle income,2020-05-04,2994738553,0.032467467365421374,0.032467467365421374,0.032467467365421374,0.032467467365421374,0.023132036444012724,0.008990893735988154,-0.02148846337108439,0.23829705917961078,0.004765941183592215,0.006659345931891772
Unknown income group,2020-05-04,258910,-0.21546818563451164,-0.1405626118369279,-0.1862934414252174,-0.1862934414252174,-0.21546818563451164,-0.2743550068198909,-0.3444372060362718,0,0,0
Upper middle income,2020-05-04,2928412447,0.11457932671774279,0.1421808400283531,0.12048771974756994,0.11457932671774279,0.11439940040419264,0.11439940040419264,0.08273174564552917,6.135919560767237,0.1136281400142081,0.04548549851181533
High income,2020-05-11,1241193758,0.21950841627213294,0.23018948025213865,0.21950841627213294,0.21950841627213294,0.21409579379418692,0.21409579379418692,0.21409579379418692,16.082986432120094,0.20886995366389735,0.27414865552361245
Low income,2020-05-11,704080579,0.06161461253309692,0.06161461253309692,0.06161461253309692,0.06161461253309692,-0.007801322312833187,-0.017114278527127613,-0.04321136090365151,0.11893122659991776,0.004101076779307509,0.0039771016038776435
Lower middle income,2020-05-11,2994738553,0.03648816961814913,0.05315631366935025,0.04085960344187621,0.04085960344187621,0.03648816961814913,0.020005907814339852,-0.013490939531171652,0.24740827667082763,0.004948165533416552,0.007866162465635443
Unknown income group,2020-05-11,258910,-0.19273980770396718,-0.17936697766979298,-0.18627773492429045,-0.18627773492429045,-0.19273980770396718,-0.23598057727901658,-0.31902323056622756,0,0,0
Upper middle income,2020-05-11,2928412447,0.12879066935050104,0.15051304055965303,0.12879066935050104,0.12879066935050104,0.1239887481050315,0.1239887481050315,0.11085527206146116,6.657682714673717,0.12329042064210587,0.05624214586600547
High income,2020-05-18,1241193758,0.1642807038958495,0.17152664099226397,0.16725497016023794,0.16725497016023794,0.1642807038958495,0.1642807038958495,0.1592283160379367,11.580009387660834,0.15038973230728359,0.22448469322708275
Low income,2020-05-18,704080579,0.06447573474648466,0.06447573474648466,0.06447573474648466,0.06447573474648466,-0.003977970181889036,-0.014936140907165914,-0.04483484228020216,0.11893122659991776,0.004101076779307509,0.004443383461085354
Lower middle income,2020-05-18,2994738553,0.0736686239389992,0.0736686239389992,0.0736686239389992,0.0736686239389992,0.05219824444069669,0.04159701344170419,-0.0014197699976597475,0.2467404387395338,0.004934808774790677,0.00871057674596277
Unknown income group,2020-05-18,258910,-0.17354256965210937,-0.13651306920554665,-0.17354256965210937,-0.17354256965210937,-0.20334140808408727,-0.20334140808408727,-0.383722639206825,0,0,0
Upper middle income,2020-05-18,2928412447,0.13784700976612352,0.1581530419366696,0.1386576655917332,0.13833078101289004,0.13784700976612352,0.13784700976612352,0.11731972660944592,7.0218310683392,0.13003390867294815,0.06483290978854386
High income,2020-05-25,1241193758,0.1267956793052978,0.13216341799957845,0.13216341799957845,0.13216341799957845,0.1267956793052978,0.11907842704205826,0.11513431388791229,8.165295147694385,0.1060427941259011,0.14557445107615502
Low income,2020-05-25,704080579,0.06679111049646642,0.06679111049646642,0.06679111049646642,0.06679111049646642,-0.0043179538206212405,-0.016779398018531788,-0.043736852313114756,0.11893122659991776,0.004101076779307509,0.004646627243499071
Lower middle income,2020-05-25,2994738553,0.18466345297757744,0.18466345297757744,0.18466345297757744,0.18466345297757744,0.09806374884115675,0.06815214043230884,0.00643429600219025,0.2319048961229448,0.0046380979224588965,0.00976479231240591
Unknown income group,2020-05-25,258910,-0.19390118042707172,-0.12237651290559257,-0.1775471587069871,-0.1775471587069871,-0.19390118042707172,-0.19390118042707172,-0.28239509997622747,0,0,0
Upper middle income,2020-05-25,2928412447,0.1383445003745805,0.153565579767085,0.1383445003745805,0.1383445003745805,0.12321287130215158,0.12321287130215158,0.12321287130215158,7.04555547820299,0.13047324959635168,0.07635048137739321
High income,2020-06-01,1241193758,0.12013483544912887,0.14177960019434593,0.14177960019434593,0.14177960019434593,0.12013483544912887,0.11716187225014782,0.10800594444391816,7.674845377362583,0.09967331658912446,0.1377708346483644
Low income,2020-06-01,704080579,0.1356397041514259,0.1356397041514259,0.1356397041514259,0.1356397041514259,0.0983282125423039,0.015432545276277248,-0.006535478981345186,0.11893122659991776,0.004101076779307509,0.00600584666886544
Lower middle income,2020-06-01,2994738553,0.2566274008150689,0.2952058555471005,0.2566274008150689,0.2566274008150689,0.21094871950588256,0.21094871950588256,0.16406602118702288,2.865717871782933,0.057314357435658665,0.013633477272698669
Unknown income group,2020-06-01,258910,-0.16650457028139798,-0.09338655414676565,-0.13025130737849058,-0.1649045861165425,-0.16650457028139798,-0.16650457028139798,-0.17087319971030476,0,0,0
Upper middle income,2020-06-01,2928412447,0.20253316302872734,0.20253316302872734,0.20253316302872734,0.20253316302872734,0.17002564194296815,0.17002564194296815,0.1530633484174226,7.544007380787866,0.13970384038496048,0.07911658763687805
High income,2020-06-08,1241193758,0.10827468108477943,0.13698396893557876,0.13698396893557876,0.13698396893557876,0.10827468108477943,0.09806127770111253,0.09260822230502293,6.295690842491011,0.0817622187336495,0.11919428296061411
Low income,2020-06-08,704080579,0.17492090078728728,0.17492090078728728,0.17492090078728728,0.17492090078728728,0.09055113966313434,0.02710152487692765,-0.0056057218645447155,0.11893122659991776,0.004101076779307509,0.0059856785227419265
Lower middle income,2020-06-08,2994738553,0.3163244030427061,0.3163244030427061,0.3163244030427061,0.3163244030427061,0.25652023906120575,0.24270163398359212,0.1561873391846705,2.870631250848878,0.05741262501697755,0.016967891887956735
Unknown income group,2020-06-08,258910,-0.13392192842257708,-0.09626155637933248,-0.13392192842257708,-0.13392192842257708,-0.17960620757519993,-0.17960620757519993,-0.1842148986622649,0,0,0
Upper middle income,2020-06-08,2928412447,0.2225458397002702,0.2225458397002702,0.2225458397002702,0.2225458397002702,0.19117122040748058,0.19117122040748058,0.16471647097446382,8.122629035971281,0.1504190562216904,0.09256114188344043
High income,2020-06-15,1241193758,0.08120031215667935,0.10826312796541597,0.10826312796541597,0.10826312796541597,0.08120031215667935,0.06969933624857261,0.06409126037515986,4.054035192785372,0.05264980769851133,0.10012264338184014
Low income,2020-06-15,704080579,0.20917357164155473,0.20917357164155473,0.20917357164155473,0.20917357164155473,0.1181393843429982,0.08609520492672529,0.05462113272696813,0.11893122659991776,0.004101076779307509,0.008562656292213963
Lower middle income,2020-06-15,2994738553,0.3122527938004041,0.32545471004494686,0.32545471004494686,0.32545471004494686,0.3122527938004041,0.2082311440500491,0.14419329158099087,2.871776115873952,0.05743552231747903,0.021852592085022656
Unknown income group,2020-06-15,258910,-0.13273749545484903,-0.09151112769614152,-0.13273749545484903,-0.13273749545484903,-0.15955771545035743,-0.15955771545035743,-0.1770038376656135,0,0,0
Upper middle income,2020-06-15,2928412447,0.23446351806746643,0.23446351806746643,0.23446351806746643,0.23446351806746643,0.20578944479352732,0.20397016783407484,0.1755806572137493,8.44833959567061,0.15645073325315945,0.09149763049070936
High income,2020-06-22,1241193758,0.13193481416392427,0.16013877383298075,0.16013877383298075,0.16013877383298075,0.13193481416392427,0.11980380621785285,0.11286296755309325,7.856153089030867,0.10202796219520606,0.10043307033775785
Low income,2020-06-22,704080579,0.2006606521925076,0.2006606521925076,0.2006606521925076,0.2006606521925076,0.13309953322867935,0.08131074406894243,0.06520237558324757,0.13776038787829498,0.004750358202699826,0.007324871831182834
Lower middle income,2020-06-22,2994738553,0.3567948747017258,0.3567948747017258,0.3567948747017258,0.3567948747017258,0.30287093956955935,0.24940995025398593,0.1999198839939126,2.8997299035695163,0.057994598071390326,0.032394948100833425
